yiddish	occ	linked_qid	linked_label	n_kima_places	kima_options
לובלין	32	Q37333	Lublin	2	Lublin (Poland)[174→Q37333] | Lublin (Poland : Voivodeship)[7264→Q37333]
יאָסי	29	Q46852	Iași	2	Iași (Romania)[669→Q46852] | Yassi Island (Turkey)[3737→Q34784475]
ירושלים	11	Q1218	Jerusalem	3	Jerusalem (Israel)[691→Q1218] | Jerusalem (Sancak)[13560→Q111169764] | Jerusalem (Latin Kingdom)[23674→-]
נואַרק	8	Q25395	Newark	2	New York (N.Y.)[32→Q60] | Newark (N.J.)[7180→Q25395]
יאַסי	6	Q46852	Iași	2	Iași (Romania)[669→Q46852] | Yassi Island (Turkey)[3737→Q34784475]
יאסי	4	Q46852	Iași	2	Iași (Romania)[669→Q46852] | Yassi Island (Turkey)[3737→Q34784475]
תל אביב	4	Q33935	Tel Aviv	2	Tel Aviv-Yafo (Israel)[272→Q33935] | Tel Aviv (Israel : District)[15820→-]
לייפּציג	4	Q2079	Leipzig	2	Leipzig (Germany)[579→Q2079] | Leipzig (Germany : Bezirk)[8274→-]
טאַרנאָוו	3	Q102317	Kielce	2	Tarnów (Poland)[765→Q106281] | Tornow (Calau, Germany)[17463→-]
נואָרק	2	Q25395	Newark	2	New York (N.Y.)[32→Q60] | Newark (N.J.)[7180→Q25395]
סובאָלק	2	Q236083	Suwałki	3	Suwałki (Poland)[30→Q236083] | Suwałki (Poland : Powiat)[20163→Q1135363] | Suvalkskai︠a︡ gubernīi︠a︡ (Poland)[20569→Q236083]
פיורדאָ	1	Q3075	Fürth	2	Fürth (Germany)[167→Q3075] | Fürth (Germany : Landkreis)[14301→Q10455]
ניואַרק	1	Q25395	Newark	2	New York (N.Y.)[32→Q60] | Newark (N.J.)[7180→Q25395]
חיפה	1	Q41621	Haifa	2	Haifa (Israel)[791→Q41621] | Haifa (Israel : District)[15834→-]
לינץ	1	Q41329	Linz (Austria)	2	Linz (Austria)[1683→Q41329] | Lynch (Ky.)[16956→Q2012501]
לבוב	1	Q36036	Lviv	2	Lʹviv (Ukraine)[166→Q36036] | Lwow (Poland : Voivodeship)[17407→-]
דראָהאָביטש	1	Q135446	Dorogobuzh (Russia)	2	Dorogobuzh (Russia)[366→Q135446] | Drohobych (Ukraine)[977→Q158821]
פּראָג	1	Q1085	Prague	2	Prague (Czech Republic)[638→Q1085] | Prague (Czech Republic : Ghetto)[22883→Q1085]
בית אל	1	Q430939	Bet El (West Bank)	2	Bet El (West Bank)[698→Q430939] | Bethel (Extinct city)[26102→Q3876767]
New York	1	Q3708418	New York (State), Western	2	New York (State), Western[5131→Q3708418] | New York (State)[9561→Q1384]
לייפציג	1	Q2079	Leipzig	2	Leipzig (Germany)[579→Q2079] | Leipzig (Germany : Bezirk)[8274→-]
ציריך	1	Q72	Zurich (Switzerland)	2	Zurich (Switzerland)[434→Q72] | Zurich (Switzerland : Canton)[8559→Q11943]
