yiddish	occ	linked_qid	linked_label	hypothesis	grade	note
דרום-רוסלאַנד	4	Q2214	Pskov (Russia)	region "Southern Russia" — no clean point QID	A_likely_error	linked to a city; should be a region or unlinked. Not a settlement.
מאָהילעוו	4	Q997469	Mohyliv-Podilʹsʹkyĭ (Ukraine)	Mahilyow (BY) vs Mohyliv-Podilskyi (UA)	A_ambiguous	bare form; disambiguating-phrase variants (אויפֿן דניעסטער/דניעפר) resolve correctly. Corpus call.
מעזריטש	2	Q2069079	Międzyrzec Podlaski Ghetto	Międzyrzec Podlaski (town) vs Międzyrzecz	A_ambiguous	links to the Ghetto, not the town. Pick the town + which Międzyrzec (handoff flag).
ניישטאָט	1	Q5266	Novo mesto (Slovenia)	"Neustadt" semantic-translated to Slovene "novo mesto"	B_likely_error	which Neustadt? many. Wrong-by-translation. Needs corpus context.
טרייסק	1	Q1022993	Phillipsburg (Kan.)	unknown — Treysk	B_likely_error	Phillipsburg KS almost certainly wrong; correct identity unclear.
רזשעקאַ	1	Q598	Rzeszów (Poland)	Rzeszów (yi רײַשע) vs Rijeka (HR)	B_likely_error	רזשעקאַ phonetics fit Rijeka better than Rzeszów. Verify.
שטשעזשעץ	1	Q393	Szczecin (Poland)	Szczecin (yi שטעטין) vs Szczuczyn	B_likely_error	spelling fits Szczuczyn, not Szczecin. Verify.
איזשביץ	2	Q841029	Iziaslav (Ukraine)	Izbica (PL, yi איזשביצע) vs Iziaslav (UA)	B_review	Hasidic "Izhbitz" = Izbica Kujawska/Lubelska. Verify vs Iziaslav.
מעזשירעוו	1	Q1022485	Medzhybizh (Ukraine)	Mezhyriv vs Medzhybizh	B_review	phonetic gap; confirm or split.
אַלעיאָוו	1	Q913143	Olevsk (Ukraine)	Aleyov vs Olevsk	B_review	weak phonetic fit; verify.
אַסטראָפּאָליע	1	Q997429	Starokostiantyniv (Ukraine)	Ostropol (Stary Ostropil) vs Starokostiantyniv	B_review	Ostropol is its own place near Starokostiantyniv; likely should be Ostropol.
סטאָוויסק	2	Q1002685	Stawiszyn (Poland)	Stawiski vs Stawiszyn	B_review	Stawiski (Łomża) vs Stawiszyn (Kalisz) — different towns; verify.
רימאַ	1	Q2588425	Rymanów (Poland)	Rima vs Rymanów	B_review	weak fit; possibly Rimavská/other. Verify.
טשאַן	1	Q2637331	Teofipolʹ (Ukraine)	Chan vs Teofipol	B_review	very short; homograph risk. Verify.
פּאַהאַסט	1	Q3917727	Pogost-Zagorodskiy (Belarus)	Pohost vs Pogost-Zagorodskiy	C_plausible	plausible (Pohost); low priority.
גאָלדינגען	6	Q155281	Kuldīga (Latvia)	Goldingen = German/Yiddish exonym for Kuldīga	C_likely_ok	exonym; Kima lacks the variant. Probably correct — confirm.
ליבאַווע	8	Q167668	Liepāja (Latvia)	Libau = exonym for Liepāja	C_likely_ok	exonym; probably correct.
