kima_id	kima_rom	variant	variant_norm	n_datasets	datasets	sources	provenance
105	Smorgon (Belarus)	סמאָרגאָן	סמארגאן	2	Fischer;Zylbercweig	Zylbercweig:Q958617 | Zylbercweig:Q958617 | Fischer:BY-00065	1-facs_389_tr_1739715084 | 6-facs_176_tr_1747825145 | exact_geoverified
10603	Naraïv (Ukraine)	נאַראַיעוו	נאראיעוו	2	Fischer;Zylbercweig	Zylbercweig:Q4313044 | Fischer:UA-00121	2-facs_303_tr_1744365806 | exact_geoverified
11031	Zabrze (Poland)	זאַבזשע	זאבזשע	2	Fischer;YIVO	YIVO:Zabrze | Fischer:PL-00794	exact_geoverified
11652	Starai︠a︡ Russa (Russia)	סטאַראַיאַ רוסאַ	סטאראיארוסא	2	Fischer;Zylbercweig	Zylbercweig:Q196479 | Fischer:RU-00070	5-facs_442_tr_1739222531 | exact_geoverified
11673	Novoselyt︠s︡i︠a︡ (Chernivet︠s︡ʹka oblastʹ, Ukraine)	נאָוואָסעליץ	נאוואסעליץ	2	Fischer;Zylbercweig	Zylbercweig:Q149030 | Fischer:UA-00125	6-facs_50_tr_1747746193 | coord_rearbitrated
11953	New Rochelle (N.Y.)	ניו-ראָשעל	ניוראשעל	2	Fischer;Zylbercweig	Zylbercweig:Q744948 | Fischer:US-00091	3-facs_415_tr_1755856164 | exact_geoverified
12047	Zbaraz︠h︡ (Ternopilʹsʹka oblastʹ, Ukraine)	זבאַראָזש	זבאראזש	2	Fischer;Zylbercweig	Zylbercweig:Q1019899 | Fischer:UA-00229	1-facs_395_r_6 | exact_geoverified
12357	Brownsville (New York, N.Y.)	בראַנזוויל	בראנזוויל	2	Fischer;Zylbercweig	Zylbercweig:Q991279 | Fischer:US-00054	1-facs_93_tr_1740521079 | exact_geoverified
12619	Roz︠h︡yshche (Ukraine)	ראָזשישטש	ראזשישטש	2	Fischer;Zylbercweig	Zylbercweig:Q148896 | Fischer:UA-00492	5-facs_587_tr_1739221101 | exact_geoverified
12816	Astrakhan (Russia)	אַסטראַכאַן	אסטראכאן	2	Fischer;Zylbercweig	Zylbercweig:Q3927 | Fischer:RU-00057	5-facs_248_tr_1739220762 | exact_geoverified
13145	Staszów (Tarnobrzeg, Poland)	סטאַשעוו	סטאשעוו	2	Fischer;Zylbercweig	Zylbercweig:Q324892 | Fischer:PL-00138	2-facs_320_tr_1744365787 | exact_geoverified
13292	Łuków (Siedlce, Poland)	לוקאָוו	לוקאוו	2	Fischer;Zylbercweig	Zylbercweig:Q384244 | Fischer:PL-00081	2-facs_251_r_13|3-facs_314_tr_1756043870|7-facs_42_tr_1756359776 | exact_geoverified
13375	Nikopol (Bulgaria)	ניקאָפּאָל	ניקאפאל	2	Fischer;Zylbercweig	Zylbercweig:Q156760 | Fischer:UA-00245	1-facs_35_tr_1740520972|2-facs_274_tr_1744280822|5-facs_556_tr_1739222579 | exact_geoverified
13843	Kremenchuk (Poltavsʹka oblastʹ, Ukraine)	קרעמענטשוג	קרעמענטשוג	2	Fischer;Zylbercweig	Zylbercweig:Q156724 | Fischer:UA-00631	2-facs_324_tr_1744365762|4-facs_322_tr_1754998441|1-facs_265_tr_1741260298|1-facs_270_r|1-facs_286_TextRegion_1711970562971_196|1-facs_72_r_5|1-facs_141_tr_1740521086 | exact_geoverified
13994	Kherson (Ukraine)	כערסאָן	כערסאן	2	Fischer;Zylbercweig	Zylbercweig:Q156732 | Fischer:UA-00355	6-facs_92_r|1-facs_376_tr_1741260448|2-facs_305_tr_1744365746|2-facs_324_tr_1744365762|2-facs_360_tr_1744365774|5-facs_423_r_4|6-facs_126_tr_1747825032|6-facs_237_tr_1747928923|7-facs_60_tr_1756359809 | exact_geoverified
14818	Wyszogród (Poland)	ווישעגראָד	ווישעגראד	2	Fischer;Zylbercweig	Zylbercweig:Q569804 | Fischer:PL-00254	2-facs_115_tr_1744279181 | exact_geoverified
15533	Ungheni (Moldova)	אונגעני	אונגעני	2	Fischer;Zylbercweig	Zylbercweig:Q858713 | Fischer:MD-00036	2-facs_277_tr_1744280835 | exact_geoverified
16166	Mazyr (Homelʹskai︠a︡ voblastsʹ, Belarus)	מאָזיר	מאזיר	2	Fischer;Zylbercweig	Zylbercweig:Q386487 | Fischer:BY-00241	1-facs_258_tr_1741260285 | exact_geoverified
16227	Krasnystaw (Poland)	קראַסניסטאָוו	קראסניסטאוו	2	Fischer;Zylbercweig	Zylbercweig:Q155088 | Fischer:PL-00484	3-facs_399_tr_1755856125 | exact_geoverified
16554	Sierpc (Poland : Powiat)	שערפּץ	שערפץ	2	Fischer;Zylbercweig	Zylbercweig:Q928392 | Fischer:PL-00449	5-facs_615_r_7 | exact_geoverified
16556	Rėchytsa (Belarus)	רעטשיצע	רעטשיצע	2	Fischer;Zylbercweig	Zylbercweig:Q909612 | Fischer:BY-00240	2-facs_213_r_10 | exact_geoverified
16672	Bilhorod-Dnistrovsʹkyĭ (Ukraine)	אַקערמאַן	אקערמאן	2	Fischer;Zylbercweig	Zylbercweig:Q672990 | Fischer:UA-00023	6-facs_108_r_4 | exact_geoverified
167	Fürth (Germany)	פירט	פירט	2	Fischer;Zylbercweig	Zylbercweig:Q3075 | Fischer:DE-00025	1-facs_334_tr_1741260429 | exact_geoverified
16772	Fălești (Moldova)	פֿאַלעשט	פאלעשט	2	Fischer;Zylbercweig	Zylbercweig:Q2078085 | Fischer:MD-00014	4-facs_101_r_1|1-facs_251_tr_1741260232 | exact_geoverified
17006	Polatsk (Belarus)	פּאָלאָצק	פאלאצק	2	Fischer;Zylbercweig	Zylbercweig:Q200797 | Fischer:BY-00173	7-facs_106_tr_1757328790 | exact_geoverified
17123	Błonie (Warsaw, Poland)	בלוינע	בלוינע	2	Fischer;Zylbercweig	Zylbercweig:Q608376 | Fischer:PL-00792	1-facs_365_tr_1741260391 | exact_geoverified
1722	Pryluky (Ukraine)	פּרילוקי	פרילוקי	2	Fischer;Zylbercweig	Zylbercweig:Q1000404 | Fischer:UA-00543	1-facs_376_tr_1741260445|2-facs_379_tr_1744366858 | coord_rearbitrated
17247	Radomsko (Poland)	ראַדאָמסק	ראדאמסק	2	Fischer;Zylbercweig	Zylbercweig:Q158796 | Fischer:PL-00121	1-facs_58_tr_1740521133 | exact_geoverified
17642	Siemiatycze (Poland)	סעמיאַטיטש	סעמיאטיטש	2	Fischer;Zylbercweig	Zylbercweig:Q218980 | Fischer:PL-00351	6-facs_41_tr_1747746160 | exact_geoverified
17744	Pidvolochysʹk (Ukraine)	פּאָדוואָלאָטשיסק	פאדוואלאטשיסק	2	Fischer;Zylbercweig	Zylbercweig:Q2092533 | Fischer:UA-00457	3-facs_133_tr_1755157303 | coord_rearbitrated
18080	Lipno (Włocławek, Poland)	ליפנע	ליפנע	2	Fischer;Zylbercweig	Zylbercweig:Q324922 | Fischer:PL-00220	5-facs_250_tr_1739221688 | exact_geoverified
18119	Ozorków (Poland)	אַזאָרקאָוו	אזארקאוו	2	Fischer;Zylbercweig	Zylbercweig:Q628460 | Zylbercweig:Q628460 | Zylbercweig:Q628460 | Fischer:PL-00243	4-facs_79_tr_1753938275|1-facs_264_tr_1741260321|1-facs_42_tr_1740520980 | 1-facs_408_TextRegion_1710064929131_307|2-facs_356_tr_1744365750|6-facs_30_tr_1747746174 | 1-facs_105_tr_1740521100|2-facs_287_tr_1744280761|3-facs_373_tr_1755856139
