kima_id	kima_rom	variant	variant_norm	n_datasets	datasets	sources	provenance	variant_type
10034	Sandomierz (Poland)	סאַנדאָמיר (צויזמער)	סאנדאמירצויזמער	1	Zylbercweig	Zylbercweig:Q193177	3-facs_372_r_4	parenthetical
10105	Tomaszów Mazowiecki (Poland)	טאמאשאוו (מאז.)	טאמאשאוומאז	1	Fischer	Fischer:PL-00293	exact_geoverified	parenthetical
10105	Tomaszów Mazowiecki (Poland)	טאמאשאב (ראוו.)	טאמאשאבראוו	1	Fischer	Fischer:PL-00293	exact_geoverified	parenthetical
10192	Kolín (Czech Republic)	קאלין במדינת בעהמין	קאליןבמדינתבעהמין	1	Fischer	Fischer:CZ-00026	exact_geoverified	locator
10206	Bad Reichenhall (Germany)	מרחץ רייכענהאל	מרחץרייכענהאל	1	Fischer	Fischer:DE-00082	exact_geoverified	descriptor
10320	Zamosc (Poland : Voivodeship)	זאמאשטש און לובלין	זאמאשטשאוןלובלין	1	Fischer	Fischer:PL-00377	exact_geoverified	conjunction
10765	Zaporiz︠h︡z︠h︡i︠a︡ (Ukraine)	אַלעקסאַנדראָווסק (איצט — זאַפּאָראָזשיע)	אלעקסאנדראווסקאיצטזאפאראזשיע	1	Zylbercweig	Zylbercweig:Q157835	2-facs_302_tr_1744365754	parenthetical
13010	Nowy Targ (Wojewodztwo Małopolskie, Poland)	ניימארק במדינת גאליציען	ניימארקבמדינתגאליציען	1	Fischer	Fischer:PL-00358	exact_geoverified	locator
13793	Janów Podlaski (Poland)	יאנוב (פודל.)	יאנובפודל	1	Fischer	Fischer:PL-00675	exact_geoverified	parenthetical
13843	Kremenchuk (Poltavsʹka oblastʹ, Ukraine)	אַ דאַרף ביי קרעמענטשוג	אדארףבייקרעמענטשוג	1	Zylbercweig	Zylbercweig:Q156724	2-facs_42_tr_1744131430	locator
14743	Baden (Switzerland)	באדען במדינת שווייץ	באדעןבמדינתשווייץ	1	Fischer	Fischer:CH-00014	exact_geoverified	locator
