kima_id	kima_rom	variant	source	fischer_uid	method	orig_status	dist_km	sourcing
74515	Lezhë (Albania)	אלישו	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AL-00012	coord_rearbitrated	fuzzy	0.7	SDM
7805	Argentina	ארגאנטינא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00000	exact_geoverified	name_exact	492.2	VeZot LiYehudah
7805	Argentina	ארגנטינא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00000	exact_geoverified	name_exact	492.2	DivM
7805	Argentina	ארגענטינא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00000	exact_geoverified	name_exact	492.2	IGMO
510	Buenos Aires (Argentina)	בואינוס איירעס	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00001	exact_geoverified	name_exact	0.4	
510	Buenos Aires (Argentina)	בונעס איירעס	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00001	exact_geoverified	name_exact	0.4	DivM
510	Buenos Aires (Argentina)	בונעס אירעס	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00001	exact_geoverified	name_exact	0.4	Prenum - Hemdat Yisrael
15757	Moisés Ville (Argentina)	מאזעס-וויללע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00011	exact_geoverified	name_exact	1.3	DivM
15757	Moisés Ville (Argentina)	מאזעסווילע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00011	exact_geoverified	name_exact	1.3	
15757	Moisés Ville (Argentina)	מאזעסוילע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00011	exact_geoverified	name_exact	1.3	Prenum 74
15757	Moisés Ville (Argentina)	קרית משה	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00011	exact_geoverified	name_exact	1.3	RAYK
9397	Río de la Plata (Viceroyalty)	פלאטא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00012	exact_geoverified	name_exact	34.7	DivM
8766	Córdoba (Argentina)	קארדובא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00013	exact_geoverified	name_exact	0.0	Prenum 2325
12308	Quilmes (Argentina)	קילמעס	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00014	exact_geoverified	name_exact	0.0	Prenum 2325
17410	Rosario (Santa Fe, Argentina)	רוזאריא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AR-00015	coord_rearbitrated	fuzzy	0.0	Prenum 2325
7645	Austria	אושטרייך	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00000	exact_geoverified	name_exact	67.7	15thCAshkenaz
7645	Austria	אושטריך	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00000	exact_geoverified	name_exact	67.7	15thCAshkenaz
7645	Austria	ארץ הדמים	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00000	exact_geoverified	name_exact	67.7	15thCAshkenaz
7645	Austria	מדינת בני חת	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00000	exact_geoverified	name_exact	67.7	15thCAshkenaz
7645	Austria	עסטרייך	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00000	exact_geoverified	name_exact	67.7	JGen
945	Vienna (Austria)	וויעדן	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00001	coord_rearbitrated	fuzzy	0.1	
945	Vienna (Austria)	וויעדען	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00001	coord_rearbitrated	fuzzy	0.1	
945	Vienna (Austria)	וויעהן	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00001	coord_rearbitrated	fuzzy	0.1	RSK
945	Vienna (Austria)	עיר הדמים	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00001	coord_rearbitrated	fuzzy	0.1	15thCAshkenaz
7918	Baden (Austria)	באדן ביי ווין	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00011	exact_geoverified	name_exact	0.7	Kagan
7918	Baden (Austria)	באדען	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00011	exact_geoverified	name_exact	0.7	
18516	Deutschkreutz (Austria)	ציילעם	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00012	exact_geoverified	name_exact	0.3	JGen
18516	Deutschkreutz (Austria)	צילם	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	AT-00012	exact_geoverified	name_exact	0.3	NBY
