UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
AF-00011,Herat,34.341944,62.203056,הראת,,,,y,,Ketubah,,,,,Herat,name_exact,name_exact,A_autolink,0.95,True,,10327,Herat (Afghanistan),הראת (אפגניסטן),0.0,10327
AL-00011,"Vlorë, Albania",40.4660668,19.491356,אבילונה,,,,,,SDM,,,,,Vlorë,name_exact,name_exact,A_autolink,0.95,True,,17345,Vlorë (Albania),ולורה (אלבניה),1.9,17345
AL-00011,"Vlorë, Albania",40.4660668,19.491356,אוילונה,,,,,,SDM,,,,,Vlorë,name_exact,name_exact,A_autolink,0.95,True,,17345,Vlorë (Albania),ולורה (אלבניה),1.9,17345
AM-00001,"Yerevan, Armenia",40.1833333333332,44.5166666666667,,,,,,,JGen,,4912,"Yerevan, Erevan",-2325645,Yerevan,name_exact,name_exact,A_autolink,0.95,True,,8666,Yerevan (Armenia),ירוואן (ארמניה),0.3,8666
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגאנטינא,,,,,,VeZot LiYehudah,,,,,Argentina,name_exact,name_exact,A_autolink,0.95,True,,7805,Argentina,ארגנטינה,492.2,7805
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגנטינא,,,,,,DivM,,,,,Argentina,name_exact,name_exact,A_autolink,0.95,True,,7805,Argentina,ארגנטינה,492.2,7805
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגנטינה,,,,,,VeZot LiYehudah,,,,,Argentina,name_exact,name_exact,A_autolink,0.95,True,,7805,Argentina,ארגנטינה,492.2,7805
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגענטינא,,,,,,IGMO,,,,,Argentina,name_exact,name_exact,A_autolink,0.95,True,,7805,Argentina,ארגנטינה,492.2,7805
AR-00011,"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעס-וויללע,,,,,,DivM,,,,,Moisés Ville,name_exact,name_exact,A_autolink,0.95,True,,15757,Moisés Ville (Argentina),מוזסוויל (ארגנטינה),1.3,15757
AR-00011,"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעסווילע,,,,,,,,,,,Moisés Ville,name_exact,name_exact,A_autolink,0.95,True,,15757,Moisés Ville (Argentina),מוזסוויל (ארגנטינה),1.3,15757
