UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בואינוס איירעס,,,,,,,,,,,Buenos Aires,name_exact,coords,B_review,0.85,True,,510,Buenos Aires (Argentina),בואנוס איירס (ארגנטינה),0.4,510|7921|9397
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בונעס איירעס,,,,,,DivM,,,,,Buenos Aires,name_exact,coords,B_review,0.85,True,,510,Buenos Aires (Argentina),בואנוס איירס (ארגנטינה),0.4,510|7921|9397
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בונעס אירעס,,,,,,Prenum - Hemdat Yisrael,,,,,Buenos Aires,name_exact,coords,B_review,0.85,True,,510,Buenos Aires (Argentina),בואנוס איירס (ארגנטינה),0.4,510|7921|9397
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בוענאס איירעס,,,,,,Prenum 2325,,,,,Buenos Aires,name_exact,coords,B_review,0.85,True,,510,Buenos Aires (Argentina),בואנוס איירס (ארגנטינה),0.4,510|7921|9397
AR-00011,"Moisés Ville, Argentina",-30.7143054,-61.469815,קרית משה,,,,,,RAYK,,,,,Moisés Ville,name_exact,coords,B_review,0.85,True,,15757,Moisés Ville (Argentina),מוזסוויל (ארגנטינה),1.3,21098|21850|15757
AR-00012,Rio de la Plata,-35.1944557,-56.741207,פלאטא,,,,,,DivM,,,,,Rio de la Plata,name_exact,coords,B_review,0.85,True,,9397,Río de la Plata (Viceroyalty),ריו דה לה פלטה (מחוז),34.7,2051|9397
AR-00013,"Córdoba, Argentina",-31.416667,-64.183333,קארדובא,,,,,,Prenum 2325,,,,,Córdoba,name_exact,coords,B_review,0.85,True,,8766,Córdoba (Argentina),קורדובה (ארגנטינה),0.0,7244|8174|8766|10948
AT-00001,Vienna,48.2081743,16.3738189,וויין,,,,,,חיים וחסד א,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,12896,Wayne (N.J.),וויין (ניו ג'רזי),6798.3,12896
AT-00011,"Baden bei Wien, Austria",48.00214,16.23091,באדן,,,,,,Kagan,845,2506,"Baden [Ger], Baden bei Wien",-1974493,Baden bei Wien,name_exact,coords,B_review,0.85,True,,7918,Baden (Austria),בדן (אוסטריה),0.7,7918|14743
AT-00015,"Güssing, Austria",47.0666666666667,16.3333333333333,גיסינג,,,,,,JGen,1682,2515,"Güssing [Ger], Németújvár [Hun], Gising [Yid], Guessing",-1979410,Güssing,name_exact,coords,B_review,0.85,True,,17715,Güssing (Austria),גוסינג (אוסטריה),1.1,13020|17715
AT-00019,Mattersburg,47.73625,16.39663,מוטערסדארף,,,,,,Kagan,4640,2505,"Mattersburg [Ger], Nagymarton [Hun], Mattersdorf [Ger, until 1924]",-1984916,Mattersburg,name_exact,coords,B_review,0.85,True,,15413,Mattersburg (Austria),מטרסדורף (אוסטריה),0.2,22285|15413
AT-00031,Wiener-Neustadt,47.8027899999999,16.23318,נוישטט,,Y,,,,15thCAshkenaz,,2524,"Wiener Neustadt [Ger], Bécsújhely [Hun]",-1995515,Wiener-Neustadt,name_exact,coords,B_review,0.85,True,,8778,Wiener Neustadt (Austria),נוישטט (אוסטריה),2.0,8778|15525
AT-00034,Salzburg,47.80949,13.05501,זלצבורג,,Y,,,,15thCAshkenaz,,2509,"Salzburg [Ger], Salzbourg [Fr], Salisburgo [Ital], Zaltsburg [Rus], Salcburk [Cz], Solnograd [Slov], Solnohrad",-1989985,Salzburg,name_exact,coords,B_review,0.85,True,,8921,Salzburg (Austria),זלצבורג (אוסטריה),1.3,8189|8921|12705
AT-00034,Salzburg,47.80949,13.05501,זלצפורק,,Y,,,,15thCAshkenaz,,2509,"Salzburg [Ger], Salzbourg [Fr], Salisburgo [Ital], Zaltsburg [Rus], Salcburk [Cz], Solnograd [Slov], Solnohrad",-1989985,Salzburg,name_exact,coords,B_review,0.85,True,,8921,Salzburg (Austria),זלצבורג (אוסטריה),1.3,8189|8921|12705
AT-00074,"Krumbach, Austria",47.5219,16.193685,קרומבאך,,,,,,Kagan,7853,,,,Krumbach,name_exact,coords,B_review,0.85,True,,18597,Krumbach (Austria),קרומבך (אוסטריה),0.3,18527|18597
AU-00003,"Melbourne, Australia",-37.8136276,144.9630576,מלבורן,,,,,,Importation Letter,,,,,Melbourne,name_exact,coords,B_review,0.85,True,,632,Melbourne (Vic.),מלבורן (ויקטוריה),0.1,632|10578
AU-00003,"Melbourne, Australia",-37.8136276,144.9630576,מעלבארן,,,,,,Gurewicz stationery,,,,,Melbourne,name_exact,coords,B_review,0.85,True,,632,Melbourne (Vic.),מלבורן (ויקטוריה),0.1,632|10578
BA-00001,"Sarajevo, Bosnia-Herzegovina",43.85,18.3833333333333,סאראיי,,,,,,Prenum - Kehilot Yaakov,8427,2329,"Sarajevo [Bosn], Szarajevó [Hun], Sarajewo [Ger], Saraybosna [Turk], Vrh Bosna, Bosna-Sarai",-94996,Sarajevo,name_exact,coords,B_review,0.85,True,,8286,Sarajevo (Bosnia and Hercegovina),סריבו (בוסניה והרצגובינה),2.5,8286|19327
BA-00001,"Sarajevo, Bosnia-Herzegovina",43.85,18.3833333333333,סאראיעווע,,,,,,Kagan,5655,2329,"Sarajevo [Bosn], Szarajevó [Hun], Sarajewo [Ger], Saraybosna [Turk], Vrh Bosna, Bosna-Sarai",-94996,Sarajevo,name_exact,coords,B_review,0.85,True,,8286,Sarajevo (Bosnia and Hercegovina),סריבו (בוסניה והרצגובינה),2.5,8286|19327
BA-00001,"Sarajevo, Bosnia-Herzegovina",43.85,18.3833333333333,סעראיעווא,,,,,,Kagan,5655,2329,"Sarajevo [Bosn], Szarajevó [Hun], Sarajewo [Ger], Saraybosna [Turk], Vrh Bosna, Bosna-Sarai",-94996,Sarajevo,name_exact,coords,B_review,0.85,True,,8286,Sarajevo (Bosnia and Hercegovina),סריבו (בוסניה והרצגובינה),2.5,8286|19327
BA-00001,"Sarajevo, Bosnia-Herzegovina",43.85,18.3833333333333,שאראי,,,,,,https://www.hebrewbooks.org/pdfpager.aspx?req=110&st=&pgnum=6,8427,2329,"Sarajevo [Bosn], Szarajevó [Hun], Sarajewo [Ger], Saraybosna [Turk], Vrh Bosna, Bosna-Sarai",-94996,Sarajevo,name_exact,coords,B_review,0.85,True,,8286,Sarajevo (Bosnia and Hercegovina),סריבו (בוסניה והרצגובינה),2.5,8286|19327
BA-00001,"Sarajevo, Bosnia-Herzegovina",43.85,18.3833333333333,שאראיי,,,,,,Kagan,8427,2329,"Sarajevo [Bosn], Szarajevó [Hun], Sarajewo [Ger], Saraybosna [Turk], Vrh Bosna, Bosna-Sarai",-94996,Sarajevo,name_exact,coords,B_review,0.85,True,,8286,Sarajevo (Bosnia and Hercegovina),סריבו (בוסניה והרצגובינה),2.5,8286|19327
BA-00001,"Sarajevo, Bosnia-Herzegovina",43.85,18.3833333333333,שראי דמי בושנה,,,,,,https://www.hebrewbooks.org/pdfpager.aspx?req=41525&st=&pgnum=232,8427,2329,"Sarajevo [Bosn], Szarajevó [Hun], Sarajewo [Ger], Saraybosna [Turk], Vrh Bosna, Bosna-Sarai",-94996,Sarajevo,name_exact,coords,B_review,0.85,True,,8286,Sarajevo (Bosnia and Hercegovina),סריבו (בוסניה והרצגובינה),2.5,8286|19327
BA-00010,"Travnik, Bosnia-Herzegovina",44.2333333333333,17.6666666666667,טראבניק,,,,,,Kagan,3673,2217,"Travnik [Bosn, Serb, Croa, Ger], Traunik",-98524,Travnik,name_exact,coords,B_review,0.85,True,,12285,"Travnik (Travnik, Bosnia and Hercegovina)","טראווניק (טראווניק, בוסניה והרצגובינה)",0.0,12285|12286
BA-00010,"Travnik, Bosnia-Herzegovina",44.2333333333333,17.6666666666667,טראווניק,,,,,,JGen,3673,2217,"Travnik [Bosn, Serb, Croa, Ger], Traunik",-98524,Travnik,name_exact,coords,B_review,0.85,True,,12285,"Travnik (Travnik, Bosnia and Hercegovina)","טראווניק (טראווניק, בוסניה והרצגובינה)",0.0,12285|12286
BA-00010,"Travnik, Bosnia-Herzegovina",44.2333333333333,17.6666666666667,טראפניק,,,,,,Kagan,3673,2217,"Travnik [Bosn, Serb, Croa, Ger], Traunik",-98524,Travnik,name_exact,coords,B_review,0.85,True,,12285,"Travnik (Travnik, Bosnia and Hercegovina)","טראווניק (טראווניק, בוסניה והרצגובינה)",0.0,12285|12286
BE-00002,Antwerp,51.2194475,4.4024643,אנטווערפין,,,,,,,513,4358,"Antwerpen [Dut], Anvers [Fr], Antwerp [Eng], Anverse [Wall]",-1953257,Antwerp,name_exact,coords,B_review,0.85,True,,643,Antwerp (Belgium),אנטורפן (בלגיה),0.3,643|7032
BE-00002,Antwerp,51.2194475,4.4024643,אנטווערפן,,,,,,Kagan,513,4358,"Antwerpen [Dut], Anvers [Fr], Antwerp [Eng], Anverse [Wall]",-1953257,Antwerp,name_exact,coords,B_review,0.85,True,,643,Antwerp (Belgium),אנטורפן (בלגיה),0.3,643|7032
BE-00002,Antwerp,51.2194475,4.4024643,אנטווערפען,,,,,,,513,4358,"Antwerpen [Dut], Anvers [Fr], Antwerp [Eng], Anverse [Wall]",-1953257,Antwerp,name_exact,coords,B_review,0.85,True,,643,Antwerp (Belgium),אנטורפן (בלגיה),0.3,643|7032
BE-00002,Antwerp,51.2194475,4.4024643,אנטוורפן,,,,,,Yabia Omer,513,4358,"Antwerpen [Dut], Anvers [Fr], Antwerp [Eng], Anverse [Wall]",-1953257,Antwerp,name_exact,coords,B_review,0.85,True,,643,Antwerp (Belgium),אנטורפן (בלגיה),0.3,643|7032
BE-00018,"Liège, Belgium",50.6333333333333,5.56666666666667,ליטיך,,,,,,Kagan,4403,4363,"Liège [Fr], Lüttich [Ger], Luik [Dut], Luick [Wal], Liége [Fr, until 1949]",-1964016,Liège,name_exact,coords,B_review,0.85,True,,10512,Liège (Belgium : Province),ליאז' (בלגיה : פרובינציה),0.0,8637|10512
BE-00022,"Namur, Belgium",50.4666666666667,4.83333333333333,,,,,,,JGen,,6617,"Namur [Fr], Namen [Dut], Nameur [Wall], Namür [Ger]",-1965962,Namur,name_exact,coords,B_review,0.85,True,,11904,Namur (Belgium : Province),נאמור (בלגיה : פרובינציה),1.2,10227|11904
BG-00011,"Vidin, Bulgaria",43.996159,22.8679302,בודון,,,,,,,2727,2370,"Vidin [Bulg], Widin, Vidine",-839613,Vidin,name_exact,coords,B_review,0.85,True,,8382,Vidin (Bulgaria),וידין (בולגריה),1.0,8382|9226
BG-00011,"Vidin, Bulgaria",43.996159,22.8679302,ווידין,,,,,,Kagan,2727,2370,"Vidin [Bulg], Widin, Vidine",-839613,Vidin,name_exact,coords,B_review,0.85,True,,8382,Vidin (Bulgaria),וידין (בולגריה),1.0,8382|9226
BG-00011,"Vidin, Bulgaria",43.996159,22.8679302,וידין,,,,Y,,SDM,2727,2370,"Vidin [Bulg], Widin, Vidine",-839613,Vidin,name_exact,coords,B_review,0.85,True,,8382,Vidin (Bulgaria),וידין (בולגריה),1.0,8382|9226
