UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
AF-00012,Hari River,34.65,66.716667,הרי רוד,,,,,,Ketubah,,,Harī Rōd,,Hari River,fuzzy,fuzzy,C_review,1.0,,,,,,,3486|4163|3764|2202|2045
AL-00012,"Lezhë, Albania",41.7860729999999,19.6460758,אלישו,,,,,IDed by Bornstein,SDM,,,,,Lezhë,fuzzy,fuzzy,C_review,1.0,,,,,,,74515|86924|13735|118|9579
AL-00013,"Nartë, Albania",40.499167,19.457222,נארטא,,,,,,Pri Etz Hayim 1742 Intro,,,,,Nartë,fuzzy,fuzzy,C_review,1.0,,,,,,,3349|23111|10060|23120|20954
AM-00011,"Tashir, Armenia",41.1159648,44.285778,וואראנסאווקע,,,,,,Kagan,2651,,,,Tashir,fuzzy,fuzzy,C_review,1.0,,,,,,,269
AR-00015,"Rosaria, Argentina",-32.9575,-60.639444,רוזאריא,,,,,,Prenum 2325,,,,,Rosaria,fuzzy,fuzzy,C_review,1.0,,,,,,,17410|87669|1125|88615|7537
AT-00001,Vienna,48.2081743,16.3738189,וויעדן,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,fuzzy,fuzzy,C_review,1.0,,,,,,,945|9928|11240|87176|89588
AT-00001,Vienna,48.2081743,16.3738189,וויעדען,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,fuzzy,fuzzy,C_review,1.0,,,,,,,945|9928|11240|87176|89588
AT-00001,Vienna,48.2081743,16.3738189,וויעהן,,,,,,RSK,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,fuzzy,fuzzy,C_review,1.0,,,,,,,945|9928|11240|87176|89588
AT-00001,Vienna,48.2081743,16.3738189,עיר הדמים,,Y,,,,15thCAshkenaz,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,fuzzy,fuzzy,C_review,1.0,,,,,,,945|9928|11240|87176|89588
AT-00013,Eisenstadt,47.84637,16.52796,"א""ש",,,,YES,,,309,2504,"Eisenstadt [Ger], Kismarton [Hun], Ayznshtot [Yid], Željezno [Croa], Stadt Eisenstadt",-1976400,Eisenstadt,fuzzy,fuzzy,C_review,1.0,,,,,,,654|14806|3433
