UID	EngClean	resolution_quality	fischer_lat	fischer_lon	resolved_kima_id	resolved_rom	resolved_dist_km	runner_up_id	runner_up_rom	runner_up_dist_km	gap_km	all_candidate_ids
DE-00073	Cologne	RESOLVED_near	50.937531	6.9602786	21254	Cologne (Germany : Archdiocese)	0.6	437	Cologne (Germany)	0.6	0.0	21254|437
DZ-00023	Annaba	RESOLVED_near	36.9142081	7.7426673	15880	Annaba (Algeria : Province)	2.7	9882	Annaba (Algeria)	2.7	0.0	15880|9882
HU-00001	Budapest	RESOLVED_near	47.497912	19.040235	513	Budapest (Hungary)	0.1	19430	XXII. Kerület (Budapest, Hungary)	0.1	0.0	19430|513
HU-00283	Mosonmagyaróvár	RESOLVED_near	47.8666666666666	17.2833333333333	13519	Moson (Hungary)	1.2	13518	Mosonmagyaróvár (Hungary)	1.2	0.0	13518|13519
IT-00030	Bologna	RESOLVED_near	44.494887	11.3426162	514	Bologna (Italy)	0.1	7526	Bologna (Italy : Province)	0.1	0.0	514|7526
IT-00031	Florence	RESOLVED_near	43.7695604	11.2558136	411	Florence (Italy)	0.2	8094	Florence (Italy : Province)	0.2	0.0	411|8094
MD-00017	Rîbniţa	RESOLVED_near	47.7665534	29.0035224	20984	Ribnitz (Germany)	0.2	26579	Ribniţa (Moldova)	0.2	0.0	20984|26579
PL-00007	Białystok	RESOLVED_near	53.1324885999999	23.1688403	24716	Białystok (Poland : Voivodeship)	1.8	523	Białystok (Poland)	1.8	0.0	24716|523
PL-00027	Częstochowa	RESOLVED_near	50.8118195	19.1203094	427	Częstochowa (Poland)	0.3	8846	Częstochowa (Poland : Voivodeship)	0.3	0.0	427|8846
PL-00261	Piotrków Trybunalski	RESOLVED_near	51.4051720999999	19.7030244	250	Piotrkow Trybunalski (Poland)	1.5	27136	Piotrków Trybunalski (Poland : Powiat)	1.5	0.0	250|27136
PL-00377	Zamość	RESOLVED_near	50.7230879	23.2519685	10320	Zamosc (Poland : Voivodeship)	0.5	962	Zamość (Poland)	0.5	0.0	10320|962
PL-00563	Katowice	RESOLVED_near	50.2666666666667	19.0166666666666	395	Katowice (Poland)	2.2	9918	Katowice (Poland : Voivodeship)	2.2	0.0	395|9918
PL-00723	Sosnowica	NO_GOOD_MATCH	51.5166666666667	23.0833333333333	18249	Sosnowiec (Wojewodztwo Slaskie, Poland)	306.1	62	Sosnówka (Jelenia Góra, Poland)	306.1	0.0	18249|62
PL-00818	Legnica	RESOLVED_near	51.2	16.2	15975	Liegnitz (Germany)	2.9	7312	Legnica (Poland)	2.9	0.0	15975|7312
RO-00011	Alba Iulia	RESOLVED_near	46.0732725	23.5804886	16419	Karlsburg (Germany)	0.7	9566	Alba Iulia (Romania)	0.7	0.0	16419|9566
RO-00028	Constanța	RESOLVED_near	44.1598013	28.6348138	15277	Constanţa (Romania : Județ)	1.5	21354	Constanţa (Romania)	1.5	0.0	15277|21354
RO-00111	Bacău	RESOLVED_near	46.5670437	26.9145748	566	Bacău (Romania)	1.8	9314	Bacău (Romania : Judet)	1.8	0.0	566|9314
RS-00016	Zemun	RESOLVED_near	44.8532094	20.3555646	20090	Zemun (Belgrade, Serbia)	3.5	9400	Zemun (Serbia)	3.5	0.0	20090|9400
SK-00061	Trnava	RESOLVED_near	48.3709108	17.5833218	16250	Trnava (Západoslovenský kraj, Slovakia)	0.8	764	Trnava (Slovakia)	0.8	0.0	16250|764
TR-00003	Izmir	RESOLVED_near	38.423734	27.142826	16667	İzmir İli (Turkey)	1.3	707	İzmir (Turkey)	1.3	0.0	16667|707
UA-00151	Rivne	RESOLVED_near	50.6199	26.251617	1728	Rivne (Rivnensʹka oblastʹ, Ukraine)	0.0	27174	Rivne (Ukraine)	0.0	0.0	1728|27174
TR-00011	Edirne	RESOLVED_near	41.6666666666667	26.5666666666667	736	Edirne (Turkey)	0.9	21094	Edirne Ili (Turkey)	1.0	0.1	21094|736
UA-00001	Kiev	RESOLVED_near	50.4501	30.5234	958	Kiev (Ukraine)	0.0	17595	Kievan Rus	0.1	0.1	17595|958
DE-00092	Fulda	RESOLVED_near	50.5558095	9.6808449	85	Fulda (Germany)	0.4	8756	Fulda (Germany : Landkreis)	0.6	0.2	85|8756
PL-00323	Puławy	RESOLVED_near	51.4164431	21.969309	8777	Puławy (Poland)	0.0	23809	Puławy (Poland : Powiat)	0.2	0.2	23809|8777
UA-00190	Torchyn	RESOLVED_near	50.7649202	25.0034404	23561	Torczyn (Ukraine)	0.1	20117	Torchyn (Lut︠s︡ʹkyĭ raĭon, Ukraine)	0.3	0.2	20117|23561
PL-00391	Cieszyn	RESOLVED_near	49.7497638	18.6354709	13874	Cieszyn (Województwo Śląskie, Poland)	0.2	14332	Teschen (Duchy)	0.4	0.3	13874|14332
CH-00020	Geneva	RESOLVED_near	46.2	6.16666666666667	955	Geneva (Switzerland)	1.3	6166	Geneva (N.Y.)	1.6	0.4	6166|955
LT-00035	Šiauliai	RESOLVED_near	55.9333333333333	23.3166666666667	298	Šiauliai (Lithuania)	0.6	22784	Siauliai (Lithuania : Ghetto)	0.9	0.4	22784|298
PL-00001	Warsaw	RESOLVED_near	52.2296756	21.0122287	953	Warsaw (Poland)	0.1	18579	Warsaw (Grand duchy)	0.5	0.4	18579|953
PL-00326	Konin	RESOLVED_near	52.2230334	18.251073	386	Konin (Konin, Poland)	0.9	11285	Konin (Poland : Voivodeship)	1.3	0.4	11285|386
LT-00091	Klaipėda	RESOLVED_near	55.7166666666667	21.1166666666667	403	Klaipėda (Lithuania)	1.2	20423	Memel Territory	1.9	0.7	20423|403
BE-00002	Antwerp	RESOLVED_near	51.2194475	4.4024643	643	Antwerp (Belgium)	0.3	7032	Antwerp (Belgium : Province)	1.0	0.8	643|7032
PL-00038	Gdańsk	RESOLVED_near	54.3520252	18.6466384	920	Gdańsk (Poland)	0.6	11813	Gdańsk (Poland : Voivodeship)	1.8	1.2	11813|920
IT-00017	Mantua	RESOLVED_near	45.1564168	10.7913751	1627	Mantua (Italy)	0.0	9792	Mantua (Italy : Province)	1.3	1.3	1627|9792
