UID	EngClean	n_spellings	anchor_kima_id	anchor_grade	anchor_rom	all_agree	distinct_assigned_ids	alt_candidate_ids	donatable_variants	flags	spellings
AT-00001	Vienna	12	945	A_autolink	Vienna (Austria)	N	12896|945	11240|12896|87176|89588|9928	וויעדן|וויעדען|וויעהן|עיר הדמים	phonetic_mismatch	ווידען|וויין|ווין|ווינא|וויעדן|וויעדען|וויעהן|וויען|וין|וינה|ויען|עיר הדמים
BE-00002	Antwerp	9	7032	A_autolink	Antwerp (Belgium : Province)	N	643|7032	643			אנווער|אנוערבין|אנטווערבין|אנטווערפין|אנטווערפן|אנטווערפען|אנטוורפן|אניווערס|ענטווערפען
BG-00013	Plovdiv	4	412	A_autolink	Plovdiv (Bulgaria)	N	12685|412	12685|71852	פיליבע|פיליפאפאל	phonetic_mismatch	פיליבי|פיליבע|פיליפאפאל|פיליפופול
BY-00003	Mogilev	6	18781	A_autolink	Mohyliv-Podilʹsʹkyĭ (Ukraine)	N	10965|18781	10965			מאהילאוו|מאהילעו|מאהילעוו|מאהלוב|מאהליב|מאלעוו
BY-00005	Grodno	8	9007	A_autolink	Grodno (Poland : Powiat)	N	882|9007	882			גראדנא|גראדנע|האראדנע|הוראדנא|הוראדני|הוראדנע|הורדנא|הראדני
BY-00189	Gorodok	3	13157	A_autolink	Horodok (Lʹvivsʹka oblastʹ, Ukraine)	N	13157|22679	22679			האראדאק|הורודוק|הורעדאק
BY-00246	Gorodok	2	13157	A_autolink	Horodok (Lʹvivsʹka oblastʹ, Ukraine)	N	13157|22679	22679			האראדאק|הרדאק
CH-00016	Zurich	3	8559	A_autolink	Zurich (Switzerland : Canton)	N	434|8559	434			צוריך|צורך|ציריך
CH-00020	Geneva	2	6166	B_review	Geneva (N.Y.)	N	6166|955	16826|6822|955			גענף|זשענעווע
CZ-00256	Polná	7	18688	A_autolink	Polná (Jihomoravský kraj, Czech Republic)	N	1721|18688	1721			פאהלנויא|פאללין|פאללן|פאלנוי|פאלנויא|פאלנע|פלון
CZ-00456	Úštěk	3	22383	A_autolink	Úštěk (Czech Republic)	N	18958|22383	18958		phonetic_mismatch	אויש|אוישא|אושא
DE-00021	Dresden	7	18764	A_autolink	Dresden (Germany : Regierungsbezirk)	N	18764|627	627			דרעזדין|דרעזדן|דרעזדען|דרעזין|דרעזן|דרעסדן|דרעסטן
DE-00023	Frankfurt (Oder)	17	10341	A_autolink	Frankfurt an der Oder (Germany)	N	10341|422	17764|18517|422|70157|81164|8333	"פ""דא|פ""פ אן דער אדר|פ""פ דאדרא|פ""פד|פד""א|פפ""דא|פראנקפורט אדער|פראנקפורט אם אדר|פראנקפורט אן דער אדער|פראנקפורטאדער|פרנקפורט"	ambiguous_exact_name	"פ""דא|פ""פ אן דער אדר|פ""פ דאדר|פ""פ דאדרא|פ""פד|פד""א|פפ""דא|פפד""א|פראנקפורט|פראנקפורט אדער|פראנקפורט אם אדר|פראנקפורט אן דער אדער|פראנקפורט דאדר|פראנקפורטאדער|פרנקפורט|פרנקפורט דאדרא|פרנקפורט דאדרה"
DE-00028	Hanau	5	11839	A_autolink	Main-Kinzig-Kreis (Germany)	N	11839|319	10462|319			האנוואה|האנוי|האנויא|האנע|הענא
DE-00036	Leipzig	4	8274	A_autolink	Leipzig (Germany : Bezirk)	N	579|8274	579			לייפצג|לייפציג|ליפציג|ליפציק
DE-00058	Göttingen	2	9768	A_autolink	Göttingen (Germany : Landkreis)	N	936|9768	936			געטינגן|געטינגען
DE-00073	Cologne	12	21254	B_review	Cologne (Germany : Archdiocese)	N	21254|437	10192|15534|437|8406|8625			קאללן|קאלן|קולוניא|קולוניאה|קולוניה|קולונייא|קולינייא|קלוניא|קלן|קעלין|קעללן|קעלן
DE-00092	Fulda	3	8756	A_autolink	Fulda (Germany : Landkreis)	N	85|8756	85			פאלדא|פולדא|פולדע
DE-00160	Kriegshaber	5	23751	A_autolink	Kriegshaber (Augsburg, Germany)	N	23751|6127	6127		phonetic_mismatch	גריגסהאבער|גריסהאבער|גריסהאבר|קריגסהאבער|קריעגסהאבר
DE-00166	Düsseldorf	3	18990	A_autolink	Gerresheim (Düsseldorf, Germany)	N	18990|938	938			דיסל דארף|דיסלדארף|דיסעלדארף
DE-90007	Swabia	2	2454	A_autolink	Swabia (Germany)	N	15479|2454	15479		phonetic_mismatch	שוואבן|שוובן
DZ-00013	Constantine	8	7846	A_autolink	Constantine (Algeria : Wilāyah)	N	387|7846	387|388			קאנסטאנטין|קונסטנטינא|קוסטנטינה|קוצימנטינא|קוצמנטינא|קצונטינה|קצמטינה|קצנטינא
DZ-00023	Annaba	2	9882	B_review	Annaba (Algeria)	N	15880|9882	15880|22730			עונאבה|ענאבה
EG-00001	Cairo	3	11803	A_autolink	Cairo (Ill.)	N	11803|665	665			קאאיר|קאיירא|קהיר
EG-00002	Alexandria	5	667	B_review	Alexandria (Egypt)	N	13681|667	13681|21479|7011			אלכסנדריא|אלכסנדריאה|אלכסנדריע|אלעקסאנדריע|נא אמון
ES-00052	Fraga	2	638	A_autolink	Prague (Czech Republic)	N	16167|638	16167|5612			פראגה|פרגה
GB-00001	London	11	688	B_review	London (England)	N	20873|688	20873|6463			לאנדאן|לאנדין|לאנדן|לונדון|לונדין|לונדן|לונדן הבירה|לונדען|לונדראש|לונדריס|לינדון
GR-00001	Athens	2	8773	B_review	Athens (Ga.)	N	505|8773	12710|505			אטען|אתונה
HU-00001	Budapest	5	19430	A_autolink	XXII. Kerület (Budapest, Hungary)	N	19430|513	513			ב' פעסט|ב' פעסטה|בודא פעסט|בודאפעסט|בודאפעשט
HU-00043	Miskolc	6	10567	A_autolink	Diósgyőr (Miskolc, Hungary)	N	10567|237	237			מישקאטץ|מישקאלטץ|מישקאליטץ|מישקאליץ|מישקאלץ|מישקאץ
HU-00056	Rajka	7	17018	A_autolink	Maria Roggendorf (Austria)	N	17018|23492	13164|17056|23492|83194|83292|9525	"ר""ד|ראגנדארף|ראק""ד|ראקנדארף|רק""ד"		"ר""ד|ראגנדארף|ראגענדארף|ראק""ד|ראקנדארף|ראקענדארף|רק""ד"
HU-00219	Ujpest	4	14286	A_autolink	IV. Kerület (Budapest, Hungary)	N	14286|513	513		phonetic_mismatch	נייאפעסט|נייפעסט|ניפעסט|פעסט חדש
HU-00283	Mosonmagyaróvár	2	13518	A_autolink	Mosonmagyaróvár (Hungary)	N	13518|13519	13519		phonetic_mismatch	וויזלבורג|מאשאן
IR-00011	Isfahan	2	6319	A_autolink	Iṣfahān (Iran : Province)	N	340|6319	340			איספהאן|אצפהאן
IT-00015	Trieste	6	7763	B_review	Trieste (Italy : Province)	N	763|7763	16562|763|9155			טריאיסטי|טריאסטי|טרייסטי|טריעסט|טריעסטא|טרישט
IT-00017	Mantua	3	9792	B_review	Mantua (Italy : Province)	N	1627|9792	11388|1627			מאנטאווא|מנטואה|מנטובה
IT-00018	Verona	8	8021	B_review	Verona (Italy : Province)	N	8021|950	15367|686|950			בערנא|ווירונא|ווירנא|וועראנא|וירונא|וירונאה|וירונה|ורונא
IT-00030	Bologna	2	7526	A_autolink	Bologna (Italy : Province)	N	514|7526	514			בולונייא|בולנייא
IT-00031	Florence	6	8094	B_review	Florence (Italy : Province)	N	411|8094	11801|15438|411			פייאנצה|פייארינצא|פייראנצ'|פירינצי|פלארענץ|פלורנץ
IT-00067	Modena	3	9138	A_autolink	Modena (Italy : Province)	N	153|9138	153			מאדענא|מודונא|מודינא
LT-00035	Šiauliai	5	22784	A_autolink	Siauliai (Lithuania : Ghetto)	N	22784|298	298			סאוויל|שאוויל|שאוול|שאוולי|שאוועל
LT-00091	Klaipėda	4	20423	A_autolink	Memel Territory	N	20423|403	403			ממל|מעמל|מעמעל|קלייפדה
LT-00092	Vilkaviškis	4	941	A_autolink	Vaŭkavysk (Belarus)	N	941|944	944	וואל קאווישק|ווילקאוויסק		וואל קאווישק|ווילקאוויסק|ווילקאווישק|ווילקאווישקי
LV-00015	Shklow	5	262	A_autolink	Shkloŭ (Belarus)	N	262|638	638	שקלאף	phonetic_mismatch	שקלאב|שקלאו|שקלאוו|שקלאף|שקלוב
MD-00017	Rîbniţa	5	26579	A_autolink	Ribniţa (Moldova)	N	20984|26579	20984			רובניצה|ריבניץ|ריבניצא|ריבניצע|ריבנצע
MD-00049	Cahul	2	19385	A_autolink	Cahul (Moldova : Raionul)	N	17237|19385	17237			קאוועל|קאחול
NL-00001	Amsterdam	8	5484	A_autolink	Amsterdam Island (Terres australes et antarctiques françaises)	N	5484|550	550			"אמסטארדאם|אמסטערדאם|אמסטרדאם|אמסטרדם|אמש""ד|אמשטערדאם|אמשטרדאם|אמשטרדם"
NL-00072	Groningen	2	6490	A_autolink	Groningen (Netherlands : Province)	N	6490|805	805			גראנינגען|גרינגען
PL-00001	Warsaw	8	953	B_review	Warsaw (Poland)	N	18579|953	18579|7313|7318			"ווארשא|ווארשוי|ווארשויא|ווארשי|ווארשע|וורשא|ורשא|ע""מ ווארשא"
PL-00007	Białystok	12	24716	A_autolink	Białystok (Poland : Voivodeship)	N	24716|523	523			ביאלאסטאק|ביאליסטאק|ביאליסטוק|ביאלישטאק|ביאלסטאק|ביאלסטק|ביאלעסטאק|ביאלעשטאק|בייאליסטאק|בייאלסטאק|בילאסטאק|ביעלאסטאק
PL-00027	Częstochowa	17	8846	A_autolink	Częstochowa (Poland : Voivodeship)	N	427|8846	427			טשעני סטנוב|טשענסטאהאוו|טשענסטאחאוו|טשענסטאכאוו|טשענסטוחאוו|טשענסטחאוו|טשענסטחוב|טשענסטיחאוו|טשענסטיכיוו|טשענסטכוב|טשענסטעחאווע|טשענסטעכאוו|טשענשטיכאוו|צ'נסטוחובה|שענסטאחויא|שענסטחוב|שענסטכוי
PL-00037	Frysztak	7	420	A_autolink	Frysztak (Poland)	N	18752|420	18752|417	פרוסטיג|פרוסטיק|פריסטיג|פרישטיק|פרסטאך	phonetic_mismatch	פרוסטיג|פרוסטיק|פריישטאט|פריסטיג|פריסטיק|פרישטיק|פרסטאך
PL-00038	Gdańsk	4	11813	A_autolink	Gdańsk (Poland : Voivodeship)	N	11813|920	920			דאנציג|דאנציק|דאנצק|דנציג
PL-00054	Kalisz	2	14654	A_autolink	Kalisz (Poland : Voivodeship)	N	14654|436	436			קאלוש|קאליש
PL-00059	Klobuck	6	13261	A_autolink	Kłobuck (Poland)	N	13261|16639	16639	קלאבוצק|קלאביצק|קלאבישק|קלוביצק		קלאבוצק|קלאביצק|קלאבישק|קלובוצק|קלוביצק|קלעצק
PL-00136	Sokołów Małopolski	8	17745	B_review	Sokołów Podlaski (Poland)	N	12488|17745	12488|17477|7519|86878	סאקאלב|סאקאלוב|סאקאלוב הסמוך לרישא|סאקאליב|סאקלאב|סאקליב	phonetic_mismatch	סאקאלב|סאקאלוב|סאקאלוב הסמוך לרישא|סאקאליב|סאקלאב|סאקלוב|סאקליב|סוקולוב
PL-00146	Tarnów	12	765	A_autolink	Tarnów (Poland)	N	764|765	12295|15513|16250|17160|17463|20219|21000|764|85391	טארנאב|טארנו|טארנוו|טארנוי|טארני|טארני אשר בגליל קראקא|טארניב|טארניוו		טארנא|טארנאב|טארנאוו|טארנו|טארנוו|טארנוי|טארני|טארני אשר בגליל קראקא|טארניב|טארניוו|טארנע|טורנא
PL-00147	Toruń	3	9501	A_autolink	Torun (Poland : Voivodeship)	N	752|9501	752			טארן|טהארן|טהארען
PL-00204	Sompolno	5	18479	A_autolink	Sompolno (Poland)	N	17900|18479	17900			סאמפאלנא|סאמפאלנע|סומפולנו|צעמפילבורג|צעמפלבורג
PL-00246	Opatów	2	552	A_autolink	Opatów (Tarnobrzeg, Poland)	N	10855|552	10855		phonetic_mismatch	אפט|אפטא
PL-00261	Piotrków Trybunalski	5	27136	A_autolink	Piotrków Trybunalski (Poland : Powiat)	N	250|27136	250			פיעטערקאוו|פיעטרקאוו טריבונאלסקי|פיעטרקאווי|פיעטרקוב|פעטריקאוו
PL-00323	Puławy	4	8777	B_review	Puławy (Poland)	N	23809|8777	23809			פולאב'|פולאוו|פילעב|פילעוו
PL-00326	Konin	2	386	B_review	Konin (Konin, Poland)	N	11285|386	11285			קאנין|קונין
PL-00344	Nowe Miasto	8	16594	A_autolink	Nové Mesto nad Váhom (Slovakia)	N	16594|23817	18583|23817			"נ""ש|נאשטאדט|נובה מיאסטו על הסונה|נייא שטאט|ניישטאדט|ניישטאט|עיר חדש|עיר חדשה"
PL-00358	Nowy Targ	10	13010	A_autolink	Nowy Targ (Wojewodztwo Małopolskie, Poland)	N	11027|13010	11027	שענדישאב|שענדישוב|שענדישיב|שענדישעוו|שענדשיב		ניימארק|ניימארק במדינת גאליציען|ניימארקט|ניימערק|סאנדזישוב|שענדישאב|שענדישוב|שענדישיב|שענדישעוו|שענדשיב
PL-00377	Zamość	12	10320	A_autolink	Zamosc (Poland : Voivodeship)	N	10320|962	962			זאמאשט|זאמאשטש|זאמאשטש און לובלין|זאמאשץ|זאמושט|זאמושטץ|זאמושטש חדש|זאמושץ|זאמיסץ|זאמישט|זאמישטש|זאמישץ
PL-00382	Chmielnik	4	797	A_autolink	Khmelnytskyi (Ukraine)	N	722|797	722			חמיילניק|חמעלניק|כמיעלניק|כמעלניק
PL-00383	Siedlce	5	8516	A_autolink	Siedlce (Poland : Voivodeship)	N	294|8516	294			סעדלעץ|שעדליטץ|שעדלייעץ|שעדליץ|שעדלעץ
PL-00391	Cieszyn	3	13874	A_autolink	Cieszyn (Województwo Śląskie, Poland)	N	13874|14332	14332		phonetic_mismatch	טעשען|פויליש טעשען|צ'שין
PL-00426	Lubień Kujawski	3	176	B_review	Louvain (Belgium)	N	10157|176	10157|72390|7242|7947|79621|88995	ליבן	phonetic_mismatch	לוביין|ליבין|ליבן
PL-00451	Suwałki	6	20163	B_review	Suwałki (Poland : Powiat)	N	20163|30	20569|22758|30			סואוואלק|סובאלק|סובלק|סוואלק|סווואלק|שוואלק
PL-00476	Grajewo	14	883	A_autolink	Grajewo (Poland)	N	883|898	6301|76788|88035|898	גראיאווע|גראייאווע|גראייווע|גראייעווי|גראייעווע|גראיעוו|גראיעווע|גראעווא|גרייאווע|גרייעוו|גרייעווא|גרייעווע		גראיאווע|גראייאווע|גראייווע|גראייעווי|גראייעווע|גראיעוו|גראיעווא|גראיעווע|גראעווא|גריווע|גרייאווע|גרייעוו|גרייעווא|גרייעווע
PL-00490	Mogielnica	8	18711	A_autolink	Mogielnica (Warsaw, Poland)	N	18625|18711	18625		phonetic_mismatch	מאגיעלניצע|מאגלינצא|מאגלניץ|מאגלניצא|מאגעלניץ|מאגעלניצע|מוגיילניצה|מוגלניצה
PL-00502	Radzyń Podlaski	2	491	A_autolink	Radzyń Podlaski (Poland)	N	16171|491	16171			ראדזין|ראדין
PL-00563	Katowice	4	9918	A_autolink	Katowice (Poland : Voivodeship)	N	395|9918	395			קאטאוויץ|קאטוביץ|קאטעוויץ|קטוביצה
PL-00723	Sosnowica	5	18249	A_autolink	Sosnowiec (Wojewodztwo Slaskie, Poland)	N	18249|62	62	סאסנאוויץ|סאסנאווצי|סוסנוביצה		סאסנאוויטץ|סאסנאוויץ|סאסנאווצי|סאסנאווצע|סוסנוביצה
PL-00818	Legnica	2	7312	A_autolink	Legnica (Poland)	N	15975|7312	15975			ליגניטץ|ליגניץ
RO-00011	Alba Iulia	9	9566	A_autolink	Alba Iulia (Romania)	N	16419|9566	16419			"אלבא יוליא|ק""ב|קאלערסבערג|קארלבורג|קארלסבארג|קארלסבורג|קארלסבערג|קארעלסבורג|קרלסבורג"
RO-00020	Botoşani	10	10564	A_autolink	Botoșani (Romania : Județ)	N	10564|683	683			באטאשאן|באטאשן|באטושאן|באטושאני|באטישאן|באטשאן|באטשן|בוטאשאן|בוטושאן|בטטשאן
RO-00028	Constanța	3	15277	B_review	Constanţa (Romania : Județ)	N	15277|21354	21354			קאנסטאנץ|קאנסטאנצא|קונסטאנצע
RO-00055	Satu Mare	17	6928	B_review	Satu Mare (Romania : Județ)	N	26|6928	14956|26			סאטהמאר|סאטו מארע|סאטמ'|סאטמאהר|סאטמאר|סאטמור|סאטמיר|סאטמער|סאטמר|סאמטאר|סאקטמאר|סאקמאר|סאקמיר|סאקמער|סטמאר|שאטמאר|שאטמער
RO-00078	Târgu Mureș	17	9575	A_autolink	Tirgu-Mures (Romania)	N	8938|9575	14368|20374|2347|81058|8938	"גורשאר וואשירהעל|וו""ה|וושארהעלי|ט' מורעש|טארגו מורעש|טג' מורעש|טירגא מארעש|מ' וואשארהעלי|מאראש וואשארהעל|מאראש וואשארהעלי|מאראשוואשארהעלי|מארושואשארהאיי|מארישוואשירהעל|נימארקט"	phonetic_mismatch	"גורשאר וואשירהעל|וו""ה|וואשארהעל|וואשארהעלי|וושארהעלי|ט' מורעש|טארגו מורעש|טג' מורעש|טירגא מארעש|טרגו מורש|מ' וואשארהעלי|מאראש וואשארהעל|מאראש וואשארהעלי|מאראשוואשארהעלי|מארושואשארהאיי|מארישוואשירהעל|נימארקט"
