qid	kima_id	kima_rom	kima_heb	match_method	confidence	source
Q1012975	10271	Kahului (Hawaii)	קאהולואי (הוואי)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1020037	84083	Kulykiv (Z︠H︡ovkivsʹkyĭ raĭon, Ukraine)	קוליקיב (מחוז ז'ובקיב, אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1020091	11092	Terebovli︠a︡ (Ukraine)	טרמבובלה (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1021527	81079	Metuchen (N.J.)	מטוצ'ן (ניו ג'רזי)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1022506	893	Deganya Bet (Israel)	דגניה ב' (ישראל)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1022960	84456	Třemošnice (Chrudim, Czech Republic)	טרמושניץ (צ'כיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1024673	947	Virbalis (Lithuania)	וירבלן (ליטא)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q105206	3056	Bukovina (Romania and Ukraine)	בוקובינה (רומניה-אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q118995	16753	Muş (Turkey)	מוס (טורקיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1309	6899	Maastricht (Netherlands)	מסטריכט (הולנד)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1384	9561	New York (State)	ניו יורק (מדינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1400	6280	Pennsylvania	פנסילבניה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1408	8821	New Jersey	ניו ג'רזי	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q142	6399	France	צרפת	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q148	7218	China	סין	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q15180	9562	Soviet Union	ברית המועצות	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q152406	478	Kiryat Gat (Israel)	קרית גת (ישראל)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
