yiddish	occ	fields	qid	label_en	desc	n_place_cands	source	grade
בוקאָווינע	22	province;venues	Q105206	Bukovina	historical region in Central Europe	1	internal	A_autolink
מזרחגאַליציע	18	province	Q3573883	Eastern Galicia	geographical region in western Ukraine	1	internal	A_autolink
קרעמענטשוג	18	settlements	Q156724	Kremenchuk	city in central Ukraine	1	internal	A_autolink
כערסאָן	13	province;settlements	Q156732	Kherson	capital city of Kherson Oblast in southern Ukraine	1	internal	A_autolink
כאָרבין	11	settlements	Q42956	Harbin	capital of Heilongjiang province, China	1	internal	A_autolink
מאָנטרעאַל	10	settlements	Q340	Montreal	largest city in Quebec, Canada	1	internal	A_autolink
מאָנטרעאָל	9	settlements	Q340	Montreal	largest city in Quebec, Canada	1	internal	A_autolink
בעסאָראָביע	6	province	Q174994	Bessarabia	historical region in present-day Moldova and Ukraine	1	internal	A_autolink
לאָס אַנדזשעלאָס	5	settlements	Q65	Los Angeles	seat of Los Angeles County, and largest city in California, United States	1	internal	A_autolink
בעסאַראביע	4	province	Q174994	Bessarabia	historical region in present-day Moldova and Ukraine	1	internal	A_autolink
כעלם	4	settlements	Q234184	Chełm	city with powiat rights in the Lublin Voivodeship in south-eastern Poland	1	internal	A_autolink
ליבערטי	4	place;venues	Q6541521	Liberty	town in New York, United States	2	yi_exact	A_autolink
סאָסנאָוויץ	4	settlements	Q105060	Sosnowiec	city in the Dąbrowa Basin (the Lesser Poland part of the Silesian Voivodeship), Poland	1	internal	A_autolink
בייערן	3	province;venues	Q980	Bavaria	federated state in the south of Germany	1	yi_exact	A_autolink
ביעלאָצערקאָוו	3	settlements	Q33342	Bila Tserkva	city in Kyiv Oblast, Ukraine	1	internal	A_autolink
מלאַווע	3	settlements	Q983868	Mława	town in northern Poland, is the capital of Mława County	1	yi_exact	A_autolink
פּאָדאָל	3	province	Q191607	Podolia	historic region in Eastern Europe	2	internal	A_autolink
פּאָלאָצק	3	settlements	Q200797	Polatsk	city in Belarus	1	internal	A_autolink
בוענאָסאיירעס	2	settlements	Q1486	Buenos Aires	capital and largest city of Argentina	1	internal	A_autolink
האָמל	2	settlements	Q2678	Gomel	city in Belarus	1	yi_exact	A_autolink
הר נבו	2	place	Q8519552	Mount Nebo	mountain in Juab and Utah counties in Utah, United States	1	yi_exact	A_autolink
וואלדהיים	2	province;settlements	Q1747451	Valdgeym	human settlement in Birobidzhansky District, Jewish Autonomous Oblast, Russia	1	yi_exact	A_autolink
יאָהאָניסבורג	2	settlements	Q34647	Johannesburg	largest city in South Africa	1	internal	A_autolink
כאַרבין	2	settlements	Q42956	Harbin	capital of Heilongjiang province, China	1	internal	A_autolink
כארבין	2	settlements	Q42956	Harbin	capital of Heilongjiang province, China	1	internal	A_autolink
לאַנג איילאַנד	2	province	Q60	New York City	most populous city in the United States	1	internal	A_autolink
לאָנג איילאַנד	2	province	Q60	New York City	most populous city in the United States	1	internal	A_autolink
פּיעטראָקאָוו	2	settlements	Q158004	Piotrków Trybunalski	city with powiat rights of Poland	1	internal	A_autolink
ראַקאָוו	2	settlements	Q2500789	Rakaŭ	agrotown in Valožyn district, Belarus	1	internal	A_autolink
ראָמען	2	settlements	Q161994	Romny	town of Ukraine (Sumy Oblast)	1	yi_exact	A_autolink
אַלעסקאָ	1	settlements	Q1026069	Firuzkuh	city in Tehran Province, Iran	1	internal	A_autolink
אָהאיאָ	1	settlements	Q1397	Ohio	state of the United States of America	1	yi_exact	A_autolink
אָטען	1	settlements	Q1524	Athens	capital and largest city of Greece	1	yi_exact	A_autolink
אוקראַאנא	1	countries	Q212	Ukraine	country in Eastern Europe	1	internal	A_autolink
ב'א	1	settlements	Q1486	Buenos Aires	capital and largest city of Argentina	1	internal	A_autolink
ב'אַ	1	settlements	Q1486	Buenos Aires	capital and largest city of Argentina	1	internal	A_autolink
בּעסאַראַבּיע	1	province	Q174994	Bessarabia	historical region in present-day Moldova and Ukraine	1	internal	A_autolink
באַמבערג	1	settlements	Q3936	Bamberg	town in Bavaria, Germany	1	internal	A_autolink
באַקי	1	settlements	Q999708	Buckie	burgh town on the Moray Firth coast of Moray, Scotland, UK	2	yi_exact	A_autolink
באָלטע	1	settlements	Q805554	Balta	city in Podilsk Raion (district), Odesa Oblast, Ukraine. Residence of Balta urban hromada (municipality)	1	internal	A_autolink
באָסלעוו	1	settlements	Q1936339	Bohuslav	town in Ukraine	1	yi_exact	A_autolink
באָראַ פּאַרק	1	settlements	Q2911280	Borough Park	neighborhood in New York City	1	yi_exact	A_autolink
באָראָ-פּאַרק	1	settlements	Q2911280	Borough Park	neighborhood in New York City	1	yi_exact	A_autolink
בוקאַווינע	1	province	Q105206	Bukovina	historical region in Central Europe	1	internal	A_autolink
ביעלאַצערקאָוו	1	settlements	Q33342	Bila Tserkva	city in Kyiv Oblast, Ukraine	1	internal	A_autolink
ביעלאָ צערקאָוו	1	settlements	Q33342	Bila Tserkva	city in Kyiv Oblast, Ukraine	1	internal	A_autolink
בעסאָראַביע	1	province	Q174994	Bessarabia	historical region in present-day Moldova and Ukraine	1	internal	A_autolink
בערעזיין	1	settlements	Q200833	Byerazino	city in Belarus	1	internal	A_autolink
בערעזין	1	settlements	Q200833	Byerazino	city in Belarus	1	yi_exact	A_autolink
בראַזיליע	1	countries	Q155	Brazil	country in South America	1	internal	A_autolink
בראָזיליע	1	countries	Q155	Brazil	country in South America	1	internal	A_autolink
בראנסק	1	settlements	Q607410	Brańsk	city and urban gmina of Poland	1	yi_exact	A_autolink
דוווינסק	1	settlements	Q80021	Daugavpils	state city in south-eastern Latvia	1	internal	A_autolink
וויסקאָנסין	1	province	Q1537	Wisconsin	state of the United States of America	1	yi_exact	A_autolink
זלאַטאָפּאָל	1	settlements	Q889579	Zlatopil	city in Lozova raion, Kharkiv oblast, Ukraine	1	internal	A_autolink
זלאטאָפּאָליע	1	settlements	Q889579	Zlatopil	city in Lozova raion, Kharkiv oblast, Ukraine	1	internal	A_autolink
טוקום	1	settlements	Q369007	Tukums Municipality	municipality of Latvia between 2009 and 2021	1	internal	A_autolink
טריער	1	settlements	Q3138	Trier	city in Rhineland-Palatinate, Germany	1	yi_exact	A_autolink
טשעטשעלניק	1	settlements	Q1721808	Chechelnyk	urban-type settlement in Vinnytsia Oblast, Ukraine	1	yi_exact	A_autolink
יאָהאַניסבורג	1	settlements	Q34647	Johannesburg	largest city in South Africa	1	internal	A_autolink
יעליסאַ וועטגראַד	1	settlements	Q158292	Kropyvnytskyi	city in central Ukraine, administrative center of the Kirovohrad Oblast	1	internal	A_autolink
