rid,label_yi,label_en,qid,lat,lon,occurrences,fields
R0,בוקאָווינע,,,,,22,province;venues
R1,מזרחגאַליציע,,,,,18,province
R2,קרעמענטשוג,,,,,18,settlements
R3,גאָליציע,,,,,16,province;settlements
R4,בראַנקס,Bronx,Q18426,,,14,addresses;settlements;venues
R5,כערסאָן,,,,,13,province;settlements
R6,מערב-גאַליציע,,,,,13,province
R7,כאָרבין,,,,,11,settlements
R8,פּיטסבורג,,,,,11,settlements
R9,מאָנטרעאַל,,,,,10,settlements
R10,גאַלאַץ,,,,,9,settlements
R11,מאָנטרעאָל,,,,,9,settlements
R12,קורלאַנד,,,,,9,province;settlements
R13,בעסאָראָביע,,,,,6,province
R14,טראַנסניסטריע,,,,,6,place;province
R15,ניו יאָרקער,,,,,6,province;venues
R16,גאליציע,,,,,5,province
R17,ווינער,,,,,5,settlements;venues
R18,לאָס אַנדזשעלאָס,,,,,5,settlements
R19,מעליטאָפּאָל,Melitopol,Q156915,,,5,settlements
R20,מערבגאַליציע,,,,,5,country;province
R21,בעסאַראביע,,,,,4,province
R22,בראנקס,Bronx,Q18426,,,4,settlements;venues
R23,כעלם,,,,,4,settlements
R24,ליבערטי,,,,,4,place;venues
R25,נאָליציע,,,,,4,province
R26,סאָסנאָוויץ,,,,,4,settlements
R27,פּויקן,,,,,4,countries;country
R28,בייערן,,,,,3,province;venues
R29,ביעלאָצערקאָוו,Bila Tserkva,Q33529,,,3,settlements
R30,גאָלאַץ,,,,,3,settlements
R31,כאָר,,,,,3,settlements;venues
R32,מיטלאַזיע,,,,,3,place;settlements
R33,מלאַווע,Mława,Q572394,,,3,settlements
R34,נאָוואָליפּיע 72,,,,,3,addresses;place
R35,פּאָדאָל,,,,,3,province
R36,פּאָלאָצק,,,,,3,settlements
R37,פינסקער געגנט,,,,,3,province
R38,רוסלאַנד און בעסאַראַביע,,,,,3,settlements
R39,איסט סייד,,,,,2,settlements;venues
R40,בוענאָסאיירעס,,,,,2,settlements
R41,בית ישראל האָספּיטאָל,,,,,2,place
R42,בעסעראַביע,,,,,2,place;province
R43,בערדיאָנסק,Berdyansk,Q187814,,,2,settlements
R44,גאָליזיע,,,,,2,province
R45,דאָנבאַס,,,,,2,place;settlements
R46,די פֿאַראייניקטע שטאָטן,,,,,2,countries;venues
R47,דעמבאָ,,,,,2,place;settlements
R48,דענעמאַרק,,,,,2,countries
R49,דרוםאַמעריקע,,,,,2,countries;venues
R50,האַנאָווער בונקער,,,,,2,place;venues
R51,האָליוואוד סעמעטערי,,,,,2,place
R52,האָמל,Homel,Q66263,,,2,settlements
R53,הר נבו,,,,,2,place
