yiddish	occ	fields	proposed_qid	proposed_label	wikidata_desc	kima_fuzzy	recommendation
גאָליציע	16	province;settlements	Q180086	Galicia	historical and geographic region in western Ukraine and sout	|cand:1473|88778	CHOOSE among candidates
פּיטסבורג	11	settlements	Q1342	Pittsburgh	city and county seat in Allegheny County, Pennsylvania, Unit	|cand:76144|73409|87624|83456	CHOOSE among candidates
טראַנסניסטריע	6	place;province	Q907112	Transnistria	Russian-occupied territory in Moldova		REJECT-cand (non-place)
גאליציע	5	province	Q180086	Galicia	historical and geographic region in western Ukraine and sout	|cand:1473|88778	CHOOSE among candidates
ווינער	5	settlements;venues	Q131612	Wiener Neustadt	city in Lower Austria, Austria		LIKELY-ACCEPT
כאָר	3	settlements;venues	Q42308	Kharkiv	capital city of Kharkiv Oblast in eastern Ukraine		LIKELY-ACCEPT
איסט סייד	2	settlements;venues	Q116726692	East Side	Israeli TV series	|cand:19510|22249	REJECT-cand (non-place)
טראַנסילוואַניע	2	province	Q39473	Transylvania	historical region in the northwestern part of Romania		LIKELY-ACCEPT
מעהרען	2	place;province	Q43266	Moravia	historical land in the Czech Republic		LIKELY-ACCEPT
משוגעים-הויז	2	place	Q1922337				REJECT-cand (non-place)
פּאָרין	2	settlements	Q704593	Farin Urlaub	German rock musician	|cand:81106	REJECT-cand (non-place)
פיטסבורג	2	settlements	Q1342	Pittsburgh	city and county seat in Allegheny County, Pennsylvania, Unit	|cand:76144|73409|87624|83456	CHOOSE among candidates
קאַווקאַז	2	settlements;venues	Q5477	Caucasus Mountains	mountain system spanning Eastern Europe and Western Asia	|cand:1138|81454	LIKELY-ACCEPT
קאָנצענטראַציע-לאַגער	2	place	Q152081	concentration camp	camp in which people are imprisoned or confined, commonly in		REJECT-cand (non-place)
אַמעריקאַ	1	countries	Q8676	American Civil War	1861–1865 civil war in the United States between the North a		REJECT-cand (non-place)
אַנהאָלט	1	province	Q695244	Berlin Anhalter Bahnhof	formerly terminus and today underground S-Bahn station in Be	|cand:18490	REJECT-cand (non-place)
אַסי	1	settlements	Q20103	Assisi	Italian commune in Umbria		LIKELY-ACCEPT
אָלעקסאָנדראָוו	1	settlements	Q7499635	Shmuel Alexandrov	Jewish Orthodox mystical thinker, philosopher, and individua	|cand:24321	REJECT-cand (non-place)
באַקוו	1	settlements	Q3632663	Backworth	village in Tyne and Wear, England, UK	|cand:78472|26530|507	LIKELY-ACCEPT
בית עלמין	1	place	Q846659	Jewish cemetery	cemetery for Jewish people		REJECT-cand (non-place)
בען	1	place	Q76990	Ben	German singer		REJECT-cand (non-place)
בריקלין	1	settlements	Q15789847	Bricklin SV-1	Canadian sports car		REJECT-cand (non-place)
ברעסלע	1	settlements	Q1799	Wrocław	city in the Lower Silesian Voivodeship, southwestern Poland,	|cand:951|16897|18843|76962|15018	CHOOSE among candidates
גאלאטי	1	settlements	Q26847	Galatia	area in the highlands of central Asia Minor	|cand:12366	REJECT-cand (non-place)
געטאָ-וואַרשע	1	settlements	Q154607	Warsaw Ghetto	Nazi ghetto in occupied Poland (1940–1943)		LIKELY-ACCEPT
דאָרט	1	place	Q1295	Dortmund	city in North Rhine-Westphalia, Germany	|cand:901|6354|70869|6942|6386	CHOOSE among candidates
הינטער	1	province	Q913743	backhoe loader	heavy equipment vehicle		REJECT-cand (non-place)
וואַלין	1	province	Q7530	Volhynia	historical region in south-eastern Poland, south-western Bel	|cand:14072|14511|9826|80623	CHOOSE among candidates
וואַרשאָו	1	settlements	Q154607	Warsaw Ghetto	Nazi ghetto in occupied Poland (1940–1943)	|cand:953	LIKELY-ACCEPT
וולאָצלאַווקער	1	settlements	Q9382546				REJECT-cand (non-place)
וועראַ	1	place	Q234888	Vera Rubin	American astronomer and physicist (1928-2016)		REJECT-cand (non-place)
