yiddish	occ	fields	proposed_qid	proposed_label	wikidata_desc	kima_fuzzy	recommendation
נאָוואָליפּיע 72	3	addresses;place					ROUTE→descriptor/compound
רוסלאַנד און בעסאַראַביע	3	settlements					ROUTE→descriptor/compound
בית ישראל האָספּיטאָל	2	place					ROUTE→venue/institution
טעאַטער נועוואָ	2	place;venues					ROUTE→venue/institution
րաճօմ	1	settlements					needs identification
քւյՠհ	1	countries					needs identification
אַוועזשאַנעדער	1	settlements					needs identification
אַן אומבאַוואוסטן פלאַץ	1	place					needs identification
אַן אומבאַקאַנטן פלאַץ	1	place					needs identification
אַנדיזשאַן	1	settlements					needs identification
אַסיטניאָשקע	1	place					needs identification
אַסיניאָשקי	1	place					needs identification
אַסכאַבאַד	1	settlements					needs identification
אַרבעטסלאַגער ה. ק. פּ.	1	place					needs identification
אַרגענטיינע	1	countries					needs identification
אָדעסער קאַטאַקאָמבעס	1	place					needs identification
אָטאַקיי	1	settlements					needs identification
אָלעקסאָנדדיער קרייז	1	province					needs identification
אָנטאַריע	1	province					needs identification
אויף אַ ישוב לעבן ווילנע	1	place					needs identification
אויף אַ שייף	1	place					needs identification
אויף אַ שיף קיין דרום אַמעריקע	1	place					needs identification
אויף דער אַרישער זייט	1	place					needs identification
אויף דער רוסיש-עסטרייכישער גרענעץ	1	province					needs identification
אויפֿן וועג אַ היים	1	place					needs identification
אויפֿן וועג קיין דאַנציג	1	place					needs identification
אויפֿן וועג פֿון מינעאָפּאָלס קיין דענווער	1	place					needs identification
אומבאַקאַנטן פלאַץ	1	place					needs identification
אונטער נויטרויער קאָמיטאט	1	province					needs identification
אוקר.	1	province					needs identification
אוקראייניש דערל קאָוואָליי	1	place					needs identification
איינער פֿון די יידישע געטאָס	1	place					needs identification
איכנאָוו	1	place					needs identification
אין אַ געטאָ	1	place					needs identification
אין אַ קעלער אויף סמאָטשע 1	1	place					ROUTE→descriptor/compound
אין איינע פֿון די געטאָס	1	place					needs identification
אין די ווייסרוסישע וועלדער	1	place					needs identification
אין וואַגאָן	1	place					needs identification
אין שטוב	1	place					needs identification
אינזל סאָן-פֿראַנציסקאָ	1	place					needs identification
איעווער גוב.	1	province					needs identification
אלטשעווסק	1	settlements					needs identification
באַקוויער דיסטריקט	1	province					needs identification
באָסקאָוויץ	1	settlements					needs identification
באאליטק	1	place					needs identification
באנימאָלאָוואָווז	1	place					needs identification
באקאו	1	settlements					needs identification
בוכענוואָלד	1	place					needs identification
בוענאָס-אַרעס	1	settlements					needs identification
ביאַליסטאָקער געגנט	1	province					needs identification
ביז לעמבערג	1	province					needs identification
ביראָ בידזשאַנער	1	settlements					needs identification
"בית ישראל"" האָספּיטאָל"	1	place					ROUTE→venue/institution
בעיאָן	1	settlements					needs identification
בעל[זשיץ	1	place					needs identification
בעסאַראַציע	1	province					needs identification
בעסאַראביער גוב.	1	province					needs identification
בעסאָיאָביע	1	province					needs identification
בערעזאָווקע	1	settlements					needs identification
בראַנקס, ניו-יאָרק	1	settlements					needs identification
בראָדער שפּיטאָל	1	place					needs identification
בראָנקס, ניו-יאָרק	1	settlements					needs identification
בראָסלעווער קרייז	1	province					needs identification
ברוקליינער	1	settlements					needs identification
גאַז-קאַמערן	1	place					needs identification
גאַליצוער	1	province					needs identification
גאַליציש-פּאָדאָליע	1	province					needs identification
גאָיציע	1	province					needs identification
גוט אַלכאָוואַ	1	place					needs identification
געוו. אונגאָרן	1	country					needs identification
געניטשעסק	1	settlements					needs identification
גענשער בית עלמין	1	place					needs identification
גראַד. גוב.	1	province					needs identification
גראָבין	1	settlements					needs identification
גראָדנער קרייז	1	province					needs identification
דואַרטי סאַנאַטאָריום	1	place					needs identification
דווקאַר	1	place					needs identification
דויטשלאַנד	1	countries					needs identification
דונסקאַ-וואָליאַ	1	place					needs identification
די פאַרייניקטע שטאַטן	1	countries					needs identification
דייטשאַנד	1	country					needs identification
דייטשישן קאַנצענטראַציע לאַגער	1	place					needs identification
דייטשישע טויט-לאַגערס	1	place					needs identification
דייטשן האָספּיטאָל	1	place					ROUTE→venue/institution
דייטשן לאַגער דואַטמערגען	1	place					needs identification
דינאַבורג (דווינסק)	1	settlements					needs identification
דיניוויץ	1	place					needs identification
דניעפּר-אינזל	1	province					needs identification
דניעפּראָפּעטראָווסק	1	settlements					needs identification
דעפאָרטאציע	1	place					needs identification
דער אָפּטיילונג פֿון דער סטריער סאָסייעט	1	province					needs identification
דער דאָרטיקער געטאָ	1	place					needs identification
דער וואַרשעווער געטאָ	1	place					needs identification
דערפל זאַאיטשע	1	place					needs identification
האַדלעם	1	settlements					needs identification
האַרלעמער	1	settlements					needs identification
האָבלעם	1	settlements					needs identification
האָמלער געגנט	1	province					needs identification
האמלער גוב.	1	province					needs identification
היים-שטאָט	1	place					needs identification
הינטערן פלויט	1	place					needs identification
הינטערשטע ליניעם פֿון פֿראָנט	1	place					needs identification
הר לבנון	1	place					needs identification
הר-ציון, ראדאָמער סעקציע	1	place					needs identification
וואַסער-קלאָזעט	1	place					needs identification
וואַרשעווער פּאַוויאַק	1	place					needs identification
וואַרשעווער פֿאַרשטאָט	1	province					needs identification
וואַשינגטאָן, ד. ק.	1	settlements					needs identification
וואָלבזשיך	1	settlements					needs identification
וואָליר גוב.	1	province					needs identification
וואָלסק	1	settlements					needs identification
וואָסלויאי	1	settlements					needs identification
וואָרששע	1	settlements					needs identification
וואודלאָן-כית-עולם	1	place					needs identification
וווין-בריין	1	settlements					needs identification
וויגאַנקאָ	1	place					needs identification
וויטעבק	1	settlements					needs identification
ווייטערסק	1	settlements					needs identification
ווייטשעפּעל	1	settlements					needs identification
ווייסרוסישן	1	country					needs identification
ווייסרוסלאַנד און אוקראַאינע	1	country					ROUTE→descriptor/compound
ווילנע-וואַרשע	1	settlements					needs identification
וולאָצלאַווקער געגנט	1	province					needs identification
זיין פֿאָרם	1	place					needs identification
זינאָוויאָווסק	1	settlements					needs identification
זשיטאָמ. גוב.	1	province					needs identification
זשיטאָמירער גוב.	1	province					needs identification
זשיטאָמירער געגענט	1	province					needs identification
זשמערינקער געטאָ	1	place					needs identification
זשעזשאַני	1	place					needs identification
טאַווריטשעסקער גוּבּ	1	province					needs identification
טאַווריטשער גוב.	1	province					needs identification
טאַוורישער גוב.	1	province					needs identification
טאַמבאָווער גוב.	1	province					needs identification
טאָווריטש. גוב.	1	province					needs identification
טאָרנער געגנט	1	province					needs identification
טאמבאָווער גוב.	1	province					needs identification
טווערער גובערניע	1	place					needs identification
טורקעמניע	1	province					needs identification
טראַנסניסטריאַ	1	place					needs identification
טרעבלינקאָ	1	place					needs identification
טשולי	1	countries					needs identification
טשילי	1	countries					needs identification
טשעלונקינסקאָיע	1	place					needs identification
טשעראָוויץ	1	settlements					needs identification
טשערנאָוויצער יידישן שפּיטאָל	1	place					needs identification
טשערפּאַנאָוו	1	settlements					needs identification
טשקאַלאָוו	1	place					needs identification
יאַנאָווער וואַלד	1	place					needs identification
יאַסי-פּאָדאָלאָי	1	place					needs identification
יאָרוגע	1	place					needs identification
יאָשליקאָוו	1	place					needs identification
יוזעפקא	1	settlements					needs identification
יוזעפקאַ	1	settlements					needs identification
יוניאָן פֿילד	1	place					needs identification
יוניפעלד סעמעטער	1	place					needs identification
יידישער קאָלאָניע	1	place					needs identification
ינחלת נאָשעלסק	1	settlements					needs identification
יעקאַטערינבורג	1	settlements					needs identification
יעקאָטעדינאָסלאָוו	1	settlements					needs identification
ירושלים ד'ליטע	1	province					needs identification
ירושלים ליטע	1	province					needs identification
כוואַליעס פון באַלטישן ים	1	place					needs identification
כערגען-כעלזען	1	settlements					needs identification
לאַגעדע	1	place					needs identification
לאַגער קיוויאָלי	1	place					needs identification
לאַגערן פֿון פעלדאַנפונג. מינכען. שטוטגאַרט	1	settlements					needs identification
לאָזשער גוב.	1	province					needs identification
לאָמזער גובערניע	1	province					needs identification
לאָקשייווקע	1	place					needs identification
לוזיטאַניאַ	1	place					needs identification
לוכלינער גוב.	1	province					needs identification
לוקישקער תפיסה	1	place					needs identification
ליובייטש	1	place					needs identification
ליווזנע	1	place					needs identification
ליניערס	1	place					needs identification
לינץ (עסטרייך)	1	settlements					needs identification
לישטין	1	place					needs identification
לעבן רימינאָוו	1	province					needs identification
לעטיטשעוו	1	settlements					needs identification
לעמיש	1	settlements					needs identification
לענינגראַדער געגנט	1	province					needs identification
מאַנהיימער	1	settlements					needs identification
מאַסן-גריבער וועלדל רומבולע	1	place					needs identification
מאַסן-קבר	1	place					needs identification
מאַסן-קבר פֿון די אומגעבראַכטע 30,000 ריגער יידן	1	place					ROUTE→descriptor/compound
מאַסן-קבר פֿון סאָוויעטישע קעמפער	1	place					needs identification
מאָהילנע	1	settlements					needs identification
מאָהילעווער קרייז	1	province					needs identification
מאָנטיווידאַ	1	settlements					needs identification
מאָרמאַראָש סינעט	1	settlements					needs identification
מאונט היברו	1	place					needs identification
מוראוויאָוו	1	settlements					needs identification
מזרח און מערב-אייראָפּע	1	settlements					ROUTE→descriptor/compound
מזרח-גאַליצישע קאַרפּאַטן	1	province					needs identification
מזרח-פּרייסן	1	province					needs identification
מזרחאַליציע	1	province					needs identification
מיאַמיביעטש	1	settlements					needs identification
מיאָמער	1	settlements					needs identification
מיטל-אַזיע	1	province					needs identification
מייאַ קליניק	1	place					needs identification
מימי ביטש	1	settlements					needs identification
מינסק-מאַזאָוויעצק	1	province					needs identification
מיעדזשעשין	1	settlements					needs identification
מישיגען	1	province					needs identification
מעדיסאָן	1	settlements					needs identification
מעסעטשוסעטש	1	settlements					needs identification
מערב-אויסטראָליע	1	province					needs identification
מערב-פּרייסן	1	province					needs identification
מערבאַליציע	1	province					needs identification
נאָדינאָ	1	settlements					needs identification
נאָוואָסיבירסק	1	settlements					needs identification
ני-יאָרק	1	settlements					needs identification
ניאָרק	1	settlements					needs identification
נידערשלעזיע	1	settlements					needs identification
ניו אַרקער	1	settlements					needs identification
ניו דזשוירסי	1	settlements					needs identification
ניו-אַרלאַנס	1	settlements					needs identification
ניחומץ	1	place					needs identification
נייטס אָוו פּיטהיאָס	1	place					needs identification
נראָדנער גוב.	1	province					needs identification
סאָוויעטןפֿאַרבאַנד	1	settlements					needs identification
סאָוועט רוסלאַנד	1	countries					needs identification
סאָוט פֿאָלסבערג	1	settlements					needs identification
סאָלעטשניק	1	settlements					needs identification
סאָלק לייק סיטי	1	settlements					needs identification
סאָסאָוו	1	settlements					needs identification
סובאַלקער געגנט	1	province					needs identification
סובאלקער גוב	1	province					needs identification
סובאלקער קרייז	1	province					needs identification
סט. אָלבענס, לאָנג איילאַנד	1	province					needs identification
סטאַפּניצער	1	settlements					needs identification
סטאַראָ ביכל	1	place					needs identification
סטייט וויסקאַנסען	1	place					needs identification
סטראַסאָלי	1	place					needs identification
סידעלקאָוו	1	place					needs identification
סלאָנימער געטאָ	1	place					needs identification
ספּרינגפעלד	1	settlements					needs identification
סצבעזש	1	settlements					needs identification
סקאַדוויל	1	settlements					needs identification
סקאָמאַראַק	1	place					needs identification
עוואַקוואַציע	1	place					needs identification
ענטראָ כיאָס	1	province					needs identification
עניפּטן	1	countries					needs identification
עסטערגאָם	1	settlements					needs identification
ערגעץ אין פעלד	1	place					needs identification
ערגעץ וואו	1	place					needs identification
ערגעץ וואו אויף די וועגן	1	place					needs identification
פּאַגעוועזש	1	settlements					needs identification
פּאַלס ספּרינג	1	settlements					needs identification
פּאָד.	1	province					needs identification
פּאָוויאָט קאָלוש	1	province					needs identification
פּאָלט. גוב.	1	province					needs identification
פּאָלן גוב.	1	province					needs identification
פּוולן	1	country					needs identification
פּוילישן	1	country					needs identification
"פּט""ב"	1	settlements					needs identification
פּיעטריק. גוב.	1	province					needs identification
פּיער לאַשעיז	1	place					needs identification
פּלאָצקער קרייז	1	province					needs identification
פּסקאָווער געגנט	1	province					needs identification
פּעטראָגדאָד	1	settlements					needs identification
פּעטריקאָווער גוב.	1	province					needs identification
פּענסילווייניע	1	province					needs identification
פּענסילוועניא	1	province					needs identification
פּריזשאָני	1	place					needs identification
פּרעסבורג (בראָטיסלאָוואַ)	1	settlements					needs identification
פּרעסבורגער קאָמיטאַט	1	province					needs identification
פֿראַנקרעך	1	countries					needs identification
פלעינפילד	1	settlements					needs identification
פלעשטשעניץ	1	place					needs identification
פראַנצויזישן	1	country					needs identification
פרונזאַ	1	settlements					needs identification
צאַרישע רוסלאַנד	1	place					needs identification
צווישן יאָס און פּאָדאָלאָי	1	place					ROUTE→descriptor/compound
ציפּרעס-הילס עביי	1	place					needs identification
צענטראַלן פֿרידהאָף	1	place					needs identification
קאַנצלאַגער קלאַאַגע	1	place					needs identification
קאַרפּאַטן-רוס	1	province					needs identification
קאַרפּאָטרוסישן	1	province					needs identification
קאָוונ. געננט	1	province					needs identification
קאָוונער נעננט	1	province					needs identification
קאָינז-וויעלקי	1	place					needs identification
קאָכאָווקע	1	settlements					needs identification
קאָלעראָדאָ	1	province					needs identification
קאָמטשאַטקאַ	1	settlements					needs identification
קאָמיטאָט מאַרמאַראָש	1	province					needs identification
קאָמעניעץ	1	settlements					needs identification
קאָנסטאַנטינאָווקע	1	settlements					needs identification
קאָנעדיקוט	1	province					needs identification
קאָרפּאָטן-גאַליציע	1	province					needs identification
