yiddish	qid	kima_id	kima_rom	kima_heb	lat	lon	label_en	occurrences	fields	method
וואַרשע	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111		544	country;province;settlements	kima_name_exact
אַמעריקע	Q30	6421	United States	ארצות הברית	39.828175	-98.5795	America	419	countries;place;settlements;venues	kima_name_exact
ניו יאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		316	countries;settlements;venues	kima_name_exact
ווילנע	Q216	943	Vilnius (Lithuania)	וילנה (ליטא)	54.6872222222222	25.28		302	province;settlements	kima_name_exact
אָדעס	Q1874	740	Odesa (Ukraine)	אודסה (אוקראינה)	46.47747	30.73262		177	settlements;venues	kima_name_exact
לאָדזש	Q580	179	Łódź (Poland)	לודז' (פולין)	51.75	19.466666666667		170	province;settlements	kima_name_exact
לעמבערג	Q36036	166	Lʹviv (Ukraine)	לבוב (אוקראינה)	49.8425	24.0322222222222		165	province;settlements;venues	kima_name_exact
קיעוו	Q1899	958	Kiev (Ukraine)	קייב (אוקראינה)	50.45	30.523611111111		162	province;settlements	kima_name_exact
ניו-יאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		150	settlements	kima_name_exact
ווין	Q1741	945	Vienna (Austria)	וינה (אוסטריה)	48.2083333333333	16.3725		149	settlements	kima_name_exact
לאָנדאָן	Q84	688	London (England)	לונדון (אנגליה)	51.507222222222	-0.1275		142	province;settlements	kima_name_exact
אַמעריקע	Q30	6421	United States	ארצות הברית	39.828175	-98.5795	America	125	countries;place;settlements;venues	kima_name_exact
מאָסקווע	Q649	188	Moscow (Russia)	מוסקבה (רוסיה)	55.755833333333	37.617777777778		111	province;settlements;venues	kima_name_exact
בערלין	Q64	578	Berlin (Germany)	ברלין (גרמניה)	52.516666666667	13.383333333333		90	province;settlements	kima_name_exact
מינסק	Q2280	248	Minsk (Belarus)	מינסק (בלארוס)	53.902246	27.561837		80	settlements	kima_name_exact
אַרגענטינע	Q414	7805	Argentina	ארגנטינה	-34.0	-64.0	Argentina	72	countries;settlements;venues	kima_name_exact
פּעטערבורג	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667		69	settlements	kima_name_exact
לאָס אַנדזשעלעס	Q65	154	Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	34.05223	-118.24368		67	settlements;venues	kima_name_exact
דעטראָיט	Q12439	903	Detroit (Mich.)	דטרויט (מישיגן)	42.331666666667	-83.0475		64	settlements	kima_name_exact
אמעריקע	Q30	6421	United States	ארצות הברית	39.828175	-98.5795	America	62	countries;settlements;venues	kima_name_exact
ריגע	Q1773	60	Riga (Latvia)	ריגה (לטביה)	56.9475	24.106944444444		60	province;settlements	kima_name_exact
קראָקע	Q31487	489	Krakow (Poland)	קרקוב (פולין)	50.061388888889	19.937222222222		59	settlements	kima_name_exact
שיקאַגאָ	Q1297	282	Chicago (Ill.)	שיקגו (אילינוי)	41.85003	-87.65005		59	settlements	kima_name_exact
כאַרקאָוו	Q42308	8380	Kharkiv (Ukraine)	חרקוב (אוקראינה)	49.9925	36.2311111111111		58	settlements	kima_name_exact
קאָוונע	Q4115712	382	Kaunas (Lithuania)	קובנה (ליטא)	54.9	23.933333333333		53	province;settlements	kima_name_exact
בעסאַראַביע	Q174994	1775	Bessarabia (Moldova and Ukraine)	בסרביה (מולדובה-אוקראינה)	46.833333333333	29.0	Bessarabia	52	place;province;settlements;venues	kima_name_exact
טשערנאָוויץ	Q157725	6918	Chernivt︠s︡i (Ukraine)	צ'רנוביץ (אוקראינה)	48.290833333333	25.934444444444		49	province;settlements	kima_name_exact
פּאַריז	Q90	419	Paris (France)	פריס (צרפת)	48.856577777778	2.3518277777778		43	settlements	kima_name_exact
בוקאַרעסט	Q19660	656	Bucharest (Romania)	בוקרסט (רומניה)	44.4133611111111	26.0977777777778		41	settlements	kima_name_exact
ליטע	Q37	12464	Lithuania	ליטא	55.2	24.0		41	countries;province;settlements;venues	kima_name_exact
