unlinked_id,label_yi,label_en,qid,lat,lon,occurrences,fields
U0,וואַרשע,,,,,544,country;province;settlements
U1,פּוילן,,,,,481,countries;place;settlements;venues
U2,אַמעריקע,America,Q30,,,419,countries;place;settlements;venues
U3,ניו יאָרק,,,,,316,countries;settlements;venues
U4,ווילנע,,,,,302,province;settlements
U5,רומעניע,,,,,185,countries;settlements;venues
U6,אָדעס,,,,,177,settlements;venues
U7,לאָדזש,,,,,170,province;settlements
U8,לעמבערג,,,,,165,province;settlements;venues
U9,קיעוו,,,,,162,province;settlements
U10,ניו-יאָרק,,,,,150,settlements
U11,ווין,,,,,149,settlements
U12,לאָנדאָן,,,,,142,province;settlements
U13,רוסלאַנד,,,,,140,countries;place;venues
U14,אַמעריקע,America,Q30,,,125,countries;place;settlements;venues
U15,מאָסקווע,,,,,111,province;settlements;venues
U16,פּויליש-ליטע,,,,,92,countries;province
U17,בערלין,,,,,90,province;settlements
U18,מינסק,,,,,80,settlements
U19,אַרגענטינע,Argentina,Q414,,,72,countries;settlements;venues
U20,ענגלאַנד,,,,,71,countries;settlements;venues
U21,פּעטערבורג,,,,,69,settlements
U22,לאָס אַנדזשעלעס,,,,,67,settlements;venues
U23,דייטשלאַנד,,,,,65,countries;place;venues
U24,דעטראָיט,,,,,64,settlements
U25,אמעריקע,America,Q30,,,62,countries;settlements;venues
U26,ריגע,,,,,60,province;settlements
U27,מזרח-גאַליציע,,,,,59,country;place;province;venues
U28,עסטרייך,,,,,59,countries;venues
U29,קראָקע,,,,,59,settlements
U30,שיקאַגאָ,,,,,59,settlements
U31,כאַרקאָוו,,,,,58,settlements
U32,קאָוונע,,,,,53,province;settlements
U33,בעסאַראַביע,Bessarabia,Q189834,,,52,place;province;settlements;venues
U34,טשערנאָוויץ,,,,,49,province;settlements
U35,וואַרשעווער געטאָ,Warsaw Ghetto,Q160122,,,43,province;settlements;venues
U36,וואָלין,,,,,43,country;province;venues
U37,פּאַריז,,,,,43,settlements
U38,בוקאַרעסט,,,,,41,settlements
U39,ליטע,,,,,41,countries;province;settlements;venues
U40,קיעווער גוב.,,,,,41,province
U41,פֿילאַדעלפיע,,,,,41,settlements
U42,מעקסיקע,,,,,38,countries;place;settlements;venues
U43,באָסטאָן,,,,,37,settlements
U44,אוקראַאינע,,,,,36,countries;place;province;settlements;venues
U45,אָרגענטינע,Argentina,Q414,,,35,countries;settlements;venues
U46,פראַנקרייך,,,,,35,countries
U47,קליוולאַנד,,,,,35,settlements
U48,בוענאָס איירעס,,,,,33,province;settlements
U49,ביאַליסטאָק,,,,,33,province;settlements
U50,לובלין,,,,,32,province;settlements
U51,פאַריז,,,,,32,country;province;settlements
U52,מינסקער גוב.,,,,,31,province
U53,קאַנאַדע,,,,,30,countries;venues
U54,ברוקלין,,,,,29,province;settlements
U55,יאָסי,,,,,29,settlements
U56,לעטלאַנד,,,,,27,countries;venues
U57,שיקאַגע,,,,,27,settlements
U58,אוקראינע,,,,,25,countries;venues
U59,בעסאַראָביע,Bessarabia,Q189834,,,25,province;settlements;venues
U60,גראָדנע,,,,,25,settlements
U61,ווייסרוסלאַנד,,,,,24,countries;province;venues
U62,יידישן טעאַטער,,,,,24,venues
U63,בוקאַרעשט,,,,,22,settlements
U64,בוקאָווינע,,,,,22,province;venues
U65,גאַליציע,,,,,22,countries;place;settlements;venues
U66,שיקאָגאָ,,,,,22,settlements
U67,אָמעריקע,America,Q30,,,21,countries;settlements;venues
U68,נ. י.,,,,,21,place;province;settlements;venues
U69,פֿילאָדעלפיע,,,,,21,settlements
U70,דרום-אפריקע,South Africa,Q258,,,20,countries;place;settlements
U71,יעקאַטערינאָסלאָוו,,,,,20,province;settlements
U72,גראָדנער גוב.,,,,,19,province
U73,זשיטאָמיר,,,,,19,settlements
U74,מדינת ישראל,,,,,19,countries;place;settlements
U75,אָדעם,,,,,18,settlements
U76,מזרחגאַליציע,,,,,18,province
U77,קעשענעוו,,,,,18,settlements
U78,קרעמענטשוג,,,,,18,settlements
U79,ישראל,,,,,17,countries;venues
U80,פּוילישליטע,,,,,17,countries;province
U81,בעלגיע,,,,,16,countries;place;venues
U82,גאָליציע,,,,,16,province;settlements
U83,פֿראַנקרייך,,,,,16,countries;venues
U84,ווילנער געטאָ,Vilna Ghetto,Q156859,,,15,settlements;venues
U85,אָרץ-ישראל,Land of Israel,Q23793,,,14,countries;settlements;venues
U86,בראַנקס,Bronx,Q18426,,,14,addresses;settlements;venues
U87,וואָלינער גוב.,,,,,14,province
U88,קעשעניעוו,,,,,14,settlements
U89,אומאַן,,,,,13,settlements
U90,טשענסטאָכאָוו,,,,,13,settlements
U91,כערסאָן,,,,,13,province;settlements
U92,מעקסיקאָ,Mexico City,Q1489,,,13,countries;settlements
U93,מערב-גאַליציע,,,,,13,province
U94,סט. לואיס,,,,,13,settlements
U95,יאָס,,,,,12,settlements
U96,יו-עס-עי,,,,,12,countries
U97,קאָוונער גוב.,,,,,12,province
U98,קאָנסטאַנטינאָפּאָל,,,,,12,settlements
U99,אוקראַינע,,,,,11,countries
U100,בראָדוויי,,,,,11,venues
U101,געטאָ,,,,,11,place;province;settlements;venues
U102,ווילנער גוב.,,,,,11,province
U103,טאָראַנטאָ,,,,,11,settlements
U104,יידישן מלוכה-טעאַטער,,,,,11,venues
U105,ירושלים,,,,,11,settlements
U106,כאָרבין,,,,,11,settlements
U107,לאָס-אַנדזשעלעס,,,,,11,settlements
U108,לובלינער געגנט,,,,,11,province
U109,לאָדזש,,,,,11,settlements;venues
U110,מאָהילעווער גוב.,,,,,11,province
U111,פּיטסבורג,,,,,11,settlements
U112,פראנקרייך,,,,,11,countries
U113,תל-אביב,,,,,11,settlements
U114,באַקו,Baku,Q9248,,,10,settlements
U115,באָלטימאָר,,,,,10,settlements
U116,בערדיטשעוו,,,,,10,settlements
U117,בראַנזוויל,,,,,10,settlements;venues
U118,דאַנציג,,,,,10,settlements
U119,הזמיר,,,,,10,venues
U120,ווייס-רוסלאַנד,,,,,10,countries;province
U121,ווילנער געגנט,,,,,10,province
U122,טלאָמאַצקע 13,,,,,10,addresses;venues
U123,יידישן טעאַטער,,,,,10,venues
U124,מאָנטרעאַל,,,,,10,settlements
U125,ניו יאָרק,,,,,10,settlements
U126,קאָנסערוואַטאָריע,,,,,10,venues
U127,בודאָפּעסט,,,,,9,settlements
U128,בראַזיל,,,,,9,countries;place;venues
U129,גאַלאַץ,,,,,9,settlements
U130,דייטשלאנד,,,,,9,countries
U131,דעטראיט,,,,,9,settlements
U132,וואַרשעווער געגנט,,,,,9,province
U133,וויניפּעג,Winnipeg,Q2096,,,9,settlements
U134,וויניצע,,,,,9,settlements
U135,טשעכאָסלאָוואַקייע,,,,,9,countries;venues
U136,מאָנטרעאָל,,,,,9,settlements
U137,מאָסקווער,,,,,9,settlements
U138,מילוואָקי,,,,,9,settlements
U139,מילנע גאַס,,,,,9,addresses;venues
U140,פינסק,,,,,9,settlements
U141,קורלאַנד,,,,,9,province;settlements
U142,בוענאָס-איירעס,,,,,8,settlements
U143,בעלץ,,,,,8,settlements
U144,וואַרשעווער,Warsaw,Q270,,,8,settlements;venues
U145,וויטעבסק,,,,,8,settlements
U146,לאָדזשער געטאָ,Łódź Ghetto,Q204540,,,8,province;settlements;venues
U147,לובלינער גוב.,,,,,8,province
U148,ליבאַווע,Liepāja,Q41159,,,8,settlements
U149,נואַרק,,,,,8,settlements
U150,פּשעמישל,,,,,8,province;settlements
U151,קעלצער גוב.,,,,,8,province
U152,שטאָט-טעאַטער,,,,,8,venues
U153,פֿילאָדעלפֿיע,,,,,8,settlements
U154,ארץ-ישראל,Land of Israel,Q23793,,,7,countries;settlements
U155,באַלטימאָר,,,,,7,settlements
U156,באָברויסק,,,,,7,settlements
U157,בריסק,,,,,7,settlements
U158,גראָדנער געגנט,,,,,7,province
U159,ווילנער,,,,,7,settlements;venues
U160,טאָליאַ-טעאַטער,,,,,7,venues
U161,טערקיי,,,,,7,countries;venues
U162,כאָרקאָוו,,,,,7,settlements
U163,כערסאָנער גוב.,,,,,7,province
U164,מינכען,Munich,Q1726,,,7,settlements
U165,ניקאָלאַיעוו,Mykolaiv,Q131136,,,7,settlements
U166,סעקאָנד עוועניו,,,,,7,addresses;venues
U167,עלדאָראַדאָ,,,,,7,venues
U168,פּאָדאָליע,,,,,7,province
U169,קאָלאָמיי,,,,,7,settlements
U170,קיעווער גובערניע,,,,,7,province
U171,רוסיש-פּוילן,,,,,7,country;province
