entry_id	context	source_role	source_value	english_name	WikidataQID	wikidata_yi	resolved_category
4-facs_41_r_2	burial	place	הר חברון	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_47_r_2	burial	place	בית עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_55_tr_1753681940	burial	place	וואַשינגטאָן סעמעטערי	Washington Cemetery	Q7971720		cemetery
4-facs_59_tr_1753681938	burial	place	ניו יאָרק	New York City	Q60	ניו יארק	settlement
4-facs_60_r_1	burial	place	הר חברון	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_79_tr_1753938272	burial	place	וואַשינגטאָנער בית עולם	Washington Cemetery	Q7971720		cemetery
4-facs_79_tr_1753938275	burial	place	לאָס אַנדזשעלעס	Los Angeles	Q65	לאס אנדזשעלעס	settlement
4-facs_82_tr_1753938284	burial	place	ברוקלין	Brooklyn	Q18419	ברוקלין	settlement
4-facs_85_tr_1753938252	burial	place	ניו יאָרק	New York City	Q60	ניו יארק	settlement
4-facs_86_tr_1753938260	burial	place	וואַשינגטאָן בית עולם	Washington Cemetery	Q7971720		cemetery
4-facs_89_tr_1753938266	burial	place	בעלץ	Bălți	Q37801	בעלץ	settlement
4-facs_95_tr_1753602022	burial	place	הר חברון	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_95_tr_1753602024	burial	place	טאַראַנטאָ	Toronto	Q172	טאראנטא	settlement
4-facs_96_tr_1753602020	burial	place	לאָס אַנדזשעלעס	Los Angeles	Q65	לאס אנדזשעלעס	settlement
4-facs_115_tr_1753936446	burial	place	בית עולם פון די „אַדלערס יאָנג מענס“	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_138_tr_1754224987	burial	place	וואַשינגטאָנער בית עולם	Washington Cemetery	Q7971720		cemetery
4-facs_141_tr_1754377601	burial	place	פּאַריז	Paris	Q90	פאריז	settlement
4-facs_264_tr_1754998383	burial	place	פֿילאַדעלפיע	Philadelphia	Q1345	פילאדעלפיע	settlement
4-facs_270_tr_1754998435	burial	place	ניו יאָרק	New York City	Q60	ניו יארק	settlement
4-facs_274_tr_1754998428	burial	place	בית עולם פֿון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_274_tr_1754998431	burial	place	וואַשינגטאָן בית-עולם	Washington Cemetery	Q7971720		cemetery
4-facs_278_tr_1754998432	burial	place	בית עולם פון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_279_tr_1754998502	burial	place	הר-חברון בית עולם	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_322_tr_1754998441	burial	place	ניו יאָרק	New York City	Q60	ניו יארק	settlement
4-facs_323_tr_1754998450	burial	place	בית עולם פֿון דער מאָגעלניצער סאָסייעט אין ריטשמאַנד	Mount Hebron Cemetery	Q2341172		cemetery
4-facs_342_tr_1754998516	burial	place	בית עולם פון „אַרבייטער רינג‟	Mount Carmel Cemetery	Q4285547		cemetery
4-facs_355_tr_1754998462	burial	place	בית עולם פֿון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172		cemetery
