source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
ראַרויווילאָוו	Radyvyliv	Q1020069	1724	Radyvyliv (Ukraine)	רדזיווילוב (אוקראינה)	WIKIDATA	1-facs_103_tr_1740521114	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סאַראַקי	Soroca	Q853785	63	Soroca (Moldova)	סורוקה (מולדובה)	WIKIDATA	1-facs_113_tr_1740521027	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
מאָהילעוו	Mogilev	Q154835	10965	Mahili︠o︡ŭ (Belarus)	מוהילב (בלארוס)	WIKIDATA	1-facs_136_tr_1740521121	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
טאַרנאָוו	Tarnów	Q106281	765	Tarnów (Poland)	טרנוב (פולין)	WIKIDATA	1-facs_136_tr_1740521127|6-facs_56_tr_1747746145|6-facs_58_r_23	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אָלט-קאָנסטאָנטיין	Starokostiantyniv	Q997429	19134	Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)	WIKIDATA	1-facs_142_tr_1740521055	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סקאָלאַ	Skole	Q913962	17382	Skole (Ukraine)	סקולה (אוקראינה)	WIKIDATA	1-facs_145_tr_1740521071	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאָלבושאָוו	Kolbuszowa	Q991797	17514	Kolbuszowa (Poland)	קולבושובה (פולין)	WIKIDATA	1-facs_150_tr_1740521117	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
כאָרבין	Harbin	Q42956	321	Harbin (China)	חרבין (סין)	WIKIDATA	1-facs_201_tr_1741260327|1-facs_301_tr_1741260452	death	yes	Zylbercweig lexicon (Maaty reconciliation)
טוקום	Tukums	Q636935	18647	Tukums (Latvia)	טוקומס (לטביה)	WIKIDATA	1-facs_253_tr_1741260227|2-facs_219_tr_1744280726|2-facs_147_tr_1744279091	death|birth	yes	Zylbercweig lexicon (Maaty reconciliation)
גאָרליצע	Gorlice	Q947521	923	Gorlice (Poland)	גורליץ (פולין)	WIKIDATA	1-facs_261_tr_1741260190	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סקאָלאָ	Skole	Q913962	17382	Skole (Ukraine)	סקולה (אוקראינה)	WIKIDATA	1-facs_266_tr_1741260236	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאָלאָמעאָ	Kolomyia	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	WIKIDATA	1-facs_276_tr_1741260308	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
יעדיניעץ	Edineț	Q1150271	16575	Edineț (Moldova : Raionul)	אדינץ (מולדובה : מחוז)	WIKIDATA	1-facs_287_tr_1741260236	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
