source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	match_status	fuzzy_candidates	fuzzy_confidence	entry_ids	contexts
בית עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		4-facs_47_r_2	burial
וואַשינגטאָן סעמעטערי		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		4-facs_55_tr_1753681940	burial
וואַשינגטאָנער בית עולם		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		4-facs_79_tr_1753938272|4-facs_138_tr_1754224987|6-facs_459_tr_1747930172	burial
וואַשינגטאָן בית עולם		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		4-facs_86_tr_1753938260|2-facs_31_tr_1744131345|2-facs_271_tr_1744280771|3-facs_280_tr_1755674193|6-facs_252_tr_1747928995	burial
בית עולם פון די „אַדלערס יאָנג מענס“		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		4-facs_115_tr_1753936446	burial
בית עולם פֿון די יידישע טעאַטריקל עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		4-facs_274_tr_1754998428	burial
וואַשינגטאָן בית-עולם		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		4-facs_274_tr_1754998431|1-facs_210_tr_1741260180|1-facs_294_tr_1741260432|1-facs_19_r_6|1-facs_180_region_1715801037095_458|1-facs_202_tr_1741260239	burial
בית עולם פון די יידישע טעאַטריקל עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		4-facs_278_tr_1754998432|4-facs_641_tr_1755030027	burial
הר-חברון בית עולם		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		4-facs_279_tr_1754998502|1-facs_21_tr_1740515222|2-facs_255_tr_1744280686	burial
בית עולם פֿון דער מאָגעלניצער סאָסייעט אין ריטשמאַנד		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		4-facs_323_tr_1754998450	burial
בית עולם פון „אַרבייטער רינג‟		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		4-facs_342_tr_1754998516	burial
בית עולם פֿון די יידישע טעאַטריקל עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		4-facs_355_tr_1754998462|3-facs_33_tr_1752653026|3-facs_337_tr_1756106065|6-facs_59_tr_1747746198|6-facs_404_tr_1747930204|6-facs_642_tr_1747930347	burial
הר-הכרמל		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		1-facs_206_tr_1741260252|1-facs_23_r	burial
בית עולם פון די יידישע טעאַטריקל-עליינס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		1-facs_208_tr_1741260252	burial
וואַשינגטאָן סעמעטער		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		1-facs_212_tr_1741260189	burial
"הר הכרמל פון ""אַרבעטער רינג"""		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		1-facs_248_tr_1741260287	burial
בית עולם פֿון די יידישע טעאַטריקל עליינס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		1-facs_255_tr_1741260322	burial
בית עולם פֿון דער יידישער טעאָטריקעל-עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		1-facs_283_tr_1741260226	burial
בית עולם פֿון די אידישע טעאַטריקל עליינס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		1-facs_304_tr_1741260480	burial
הר-הכרמל בית-עולם		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		1-facs_311_tr_1741260476	burial
וואַשיינגטאָן בית-עולם		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		1-facs_319_r_1	burial
הר-חברון		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		1-facs_40_tr_1740521035|2-facs_9_tr_1743943368|3-facs_284_tr_1755674201	burial
"בית עולם פון ""אַרבעטער-רינג"""		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		1-facs_62_tr_1740520958	burial
הר-הכרמל בית עולם		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		1-facs_79_tr_1740520939	burial
וואַשינגטאָן-בית עולם		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		1-facs_90_tr_1740521094|2-facs_219_tr_1744280715|2-facs_232_tr_1744280746|6-facs_71_r_13	burial
באַראָן הירש בית עולם		Baron Hirsch Cemetery	Q4862481	cemetery	NO_MATCH	[]		1-facs_201_tr_1741260321	burial
ביתעולם פֿון די יידישע טעאַטריקל עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		2-facs_36_tr_1744131432	burial
בית-עולם פֿון די יידישע טעאַטריקל-עליינס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		2-facs_115_tr_1744279181	burial
וואַשינגטאָן-בית-עולם		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		2-facs_162_tr_1744279209	burial
וואַשינגטאָן-בּית-עולם		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		2-facs_198_r_4|2-facs_212_r	burial
וואַשינגטאָן-סעמעטרי		Washington Cemetery	Q7971720	cemetery	NO_MATCH	[]		2-facs_230_tr_1744280762	burial
"בית עולם פֿון „אַרבעטער-רינג"""		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		3-facs_17_tr_1752653009|3-facs_158_tr_1755156151	burial
"בית-עלמין פֿון „אַרבעטער-רינג"""		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		3-facs_32_r_2	burial
בית עולם פֿון „אַרבעטער-רינג“		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		3-facs_91_tr_1753268279	burial
בית עולם פֿין יידישן טעאַטריקל עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		3-facs_289_tr_1755803006	burial
אַרבעטער-רינג סעמעטערי		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		3-facs_326_tr_1756057710	burial
בית-עולם פֿין אַרבעטער-רינג (הר הכרמל)		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		3-facs_327_tr_1756057819	burial
בית-עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		3-facs_333_tr_1756059823	burial
בית עולם פֿון דער יידישער טעאַטריקל עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		3-facs_402_tr_1755856047	burial
פּאָנאַר	פאנאר	Aukštieji Paneriai	Q708092	neighborhood	NO_MATCH	[]		5-facs_100_tr_1733059460|5-facs_168_tr_1735652657|5-facs_336_tr_1739222350|5-facs_414_tr_1739222237|5-facs_28_tr_1729945273|5-facs_71_tr_1733059392|5-facs_77_tr_1733059398|5-facs_100_tr_1733059460|5-facs_168_tr_1735652657|5-facs_173_tr_1736588922|5-facs_173_r|5-facs_178_tr_1736588958|5-facs_189_tr_1736589041|5-facs_191_tr_1736588985|5-facs_193_r_2|5-facs_212_tr_1739221096|5-facs_242_tr_1739221237|5-facs_274_r|5-facs_331_tr_1739222376|5-facs_336_tr_1739222350|5-facs_336_r|5-facs_349_tr_1739221478|5-facs_357_tr_1739221525|5-facs_357_tr_1739221522|5-facs_359_tr_1739221250|5-facs_359_tr_1739221244|5-facs_360_tr_1739221940|5-facs_360_tr_1739221936|5-facs_414_tr_1739222237|5-facs_434_tr_1739221689	burial|death
אַנדידזשאַן		Andijan	Q4397	settlement	NO_MATCH	[]		5-facs_148_tr_1733832676|5-facs_148_tr_1733832676	burial|death
פאָנאַר	פאנאר	Aukštieji Paneriai	Q708092	neighborhood	NO_MATCH	[]		5-facs_535_tr_1739222170|5-facs_535_tr_1739222170	burial|death
בית עולם פֿון די יידישע טעאַטריקל אַלייענסעס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		6-facs_22_tr_1747746208	burial
בית עולם פֿון אַרבעטער רינג		Mount Carmel Cemetery	Q4285547	cemetery	NO_MATCH	[]		6-facs_31_r_1	burial
בית עולם פֿון די יידישע טעאַטריקל אַלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		6-facs_60_tr_1747746173|6-facs_65_tr_1747746178|6-facs_255_tr_1747928944	burial
בית עולם פֿון די יידישע טעאַטריקל אַלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		6-facs_105_tr_1747825151	burial
בית-עולם פון די יידישע טעאַטריקל עלייענס		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		6-facs_162_tr_1747825124	burial
הר חברון-בית עולם		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		6-facs_180_tr_1747825079	burial
הר חברון ביתעולם		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		6-facs_186_tr_1747825065	burial
"בית עולם פון ""יידישע טעאַטריקל עלייענס"""		Mount Hebron Cemetery	Q2341172	cemetery	NO_MATCH	[]		7-facs_53_r_4	burial
וואַרשעווער געטאָ	וואַרשע געטא	Warsaw Ghetto	Q154607	death_site	NO_MATCH	[]		4-facs_332_tr_1754998445|4-facs_355_tr_1754998470|3-facs_155_tr_1754213834|5-facs_40_r_105|5-facs_86_tr_1733059457|5-facs_95_r_9|5-facs_117_tr_1733832750|5-facs_145_tr_1733832655|5-facs_161_tr_1735652635|5-facs_177_tr_1736589074|5-facs_180_tr_1736588913|5-facs_189_tr_1736589045|5-facs_206_tr_1739220644|5-facs_215_tr_1739221509|5-facs_231_tr_1739221365|5-facs_236_tr_1739221310|5-facs_264_tr_1739221906|5-facs_276_tr_1739221992|5-facs_296_tr_1739220884|5-facs_344_r|5-facs_347_tr_1739221408|5-facs_352_r_3|5-facs_354_tr_1739222151|5-facs_355_r_2|5-facs_367_tr_1739222551|5-facs_369_r|5-facs_432_r|5-facs_441_tr_1739220583|5-facs_445_tr_1739221348|5-facs_453_tr_1739221401|5-facs_508_tr_1739222134|5-facs_559_tr_1739222339|5-facs_561_tr_1739222221|5-facs_615_tr_1739221651	death
יענדזשעוו	יענדזשעוו	Jędrzejów	Q249259	settlement	FUZZY	"[{""kima_id"": 74300, ""rom"": ""Jędrzejów (Województwo Świetokrzyskie, Poland)"", ""heb"": ""ינדז'יוב (מחוז שוויינטוקז'יסקיה, פולין)""}]"	1.0	1-facs_305_tr_1741260377	death
באָהיסלאָוו		Bohyslav	Q849427	settlement	NO_MATCH	[]		1-facs_85_r_6	death
וויז		Visé	Q49743	settlement	FUZZY	"[{""kima_id"": 20447, ""rom"": ""Wesel (Germany)"", ""heb"": ""ווסל (גרמניה)""}, {""kima_id"": 12564, ""rom"": ""Viseu (Portugal)"", ""heb"": ""ויסאו (פורטוגל)""}]"	0.6666666666666666	1-facs_133_tr_1740521135	death
