source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	match_status	grade	flags	candidates	confidence	entry_ids	contexts
קאָזיאַטיין		Kozyatyn		unmatched	no_match	C_review		[]	0.0	2-facs_402_tr_1744366863|1-facs_91_tr_1740521127|2-facs_402_tr_1744366863	burial|death
שטוטהאָף		Stutthof concentration camp		unmatched	no_match	C_review		[]	0.0	5-facs_202_tr_1739221568|5-facs_202_tr_1739221568	burial|death
דאָבראַ וואָלאַ		Dobra Wola		unmatched	no_match	C_review		[]	0.0	5-facs_341_tr_1739222058|5-facs_341_tr_1739222058	burial|death
מעזשיבעזש		Medzhibozh		unmatched	no_match	C_review		[]	0.0	6-facs_392_r|6-facs_392_r	burial|death
טעראָספּאָל		Tiraspol		unmatched	fuzzy	C_review		"[{""kima_id"": 628, ""rom"": ""Tiraspol (Moldova)"", ""heb"": ""טירספול (מולדובה)""}]"	1.0	1-facs_260_tr_1741260279	death
ביעלאַ-צערקאָוו		Bila Tserkva		unmatched	fuzzy	C_review		"[{""kima_id"": 350, ""rom"": ""Bila T︠S︡erkva (Ukraine)"", ""heb"": ""בילה צרקווה (אוקראינה)""}]"	1.0	1-facs_363_r_9	death
קאָנצענטראַציע-לאַגער קלאָאָגאָ		Klooga		unmatched	no_match	C_review		[]	0.0	3-facs_338_tr_1756106571|5-facs_445_tr_1739221346	death
מאידאַנעק		Majdanek		unmatched	fuzzy	C_review		"[{""kima_id"": 20895, ""rom"": ""Majdan (Serbia)"", ""heb"": ""מאידאן (סרביה)""}]"	0.6666666666666666	5-facs_64_tr_1733059339|5-facs_111_tr_1733832758|5-facs_158_tr_1735652602|5-facs_179_tr_1736589024|5-facs_255_tr_1739220788|5-facs_281_tr_1739220612|5-facs_485_r	death
מאַידאַנעק		Majdanek		unmatched	fuzzy	C_review		"[{""kima_id"": 20895, ""rom"": ""Majdan (Serbia)"", ""heb"": ""מאידאן (סרביה)""}]"	0.6666666666666666	5-facs_93_tr_1733059467	death
אומשלאַג-פּלאַץ		Umschlagplatz		unmatched	no_match	C_review		[]	0.0	5-facs_124_tr_1733832663|5-facs_436_tr_1739220741	death
יאַנאָווער לאַגער		Janowska concentration camp		unmatched	no_match	C_review		[]	0.0	5-facs_180_tr_1736588912|5-facs_192_tr_1736589024|5-facs_217_tr_1739220726	death
קלאַגע		Klooga		unmatched	no_match	C_review		[]	0.0	5-facs_264_tr_1739221900|5-facs_278_tr_1739220808	death
לאַגער קלאַגע		Klooga concentration camp		unmatched	no_match	C_review		[]	0.0	5-facs_346_tr_1739220500|5-facs_348_tr_1739220923	death
מיידאַנעק		Majdanek		unmatched	fuzzy	C_review		"[{""kima_id"": 20895, ""rom"": ""Majdan (Serbia)"", ""heb"": ""מאידאן (סרביה)""}]"	0.6666666666666666	5-facs_570_tr_1739221417|5-facs_589_tr_1739220611	death
בוטענקאָווע		Butenkovoe		unmatched	no_match	C_review		[]	0.0	4-facs_115_tr_1753936446	birth
ליפּנע		Lipne		unmatched	no_match	C_review		[]	0.0	4-facs_269_tr_1754998524|1-facs_335_r_6|6-facs_203_tr_1747929008	birth
באָבט		Babta		unmatched	fuzzy	C_review		"[{""kima_id"": 23786, ""rom"": ""Babtai (Lithuania)"", ""heb"": ""בבטאי (ליטא)""}]"	0.75	4-facs_322_tr_1754998436	birth
לענטשיץ		Łęczyca		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 650, ""rom"": ""Łęczyca (Łęczyca, Poland)"", ""heb"": ""לנצ'יצה (לנצ'יצה, פולין)""}, {""kima_id"": 21071, ""rom"": ""Łęczyca (Poland : Voivodeship)"", ""heb"": ""לונטשיץ (פולין : מחוז)""}]"	0.5	4-facs_332_tr_1754998448	birth
גראָדעק		Horodok		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 13157, ""rom"": ""Horodok (Lʹvivsʹka oblastʹ, Ukraine)"", ""heb"": ""הורודוק (מחוז לביב, אוקראינה)""}, {""kima_id"": 20620, ""rom"": ""Horodok (Lut︠s︡ʹkyĭ raĭon, Ukraine)"", ""heb"": ""האראדישטש (אוקראינה)""}]"	0.5	4-facs_355_tr_1754998462	birth
קאָמענקאָיע		Komenkoe		unmatched	fuzzy	C_review		"[{""kima_id"": 18166, ""rom"": ""Engomi (Cyprus)"", ""heb"": ""אנגומי (קפריסין)""}]"	0.6666666666666666	4-facs_587_tr_1755030057	birth
סוכאַרי		Sukhari		unmatched	no_match	C_review		[]	0.0	4-facs_590_tr_1755030075	birth
סטעפּעניץ		Stepanets		unmatched	no_match	C_review		[]	0.0	4-facs_635_tr_1755030182	birth
דובראָווע		Dubrova		unmatched	fuzzy	C_review		"[{""kima_id"": 22305, ""rom"": ""Dobrovice (Czech Republic)"", ""heb"": ""דובראוויץ (צ'כיה)""}]"	0.625	4-facs_644_tr_1755030005	birth
יאַשאָנאָווקי		Yashanovky		unmatched	no_match	C_review		[]	0.0	4-facs_651_tr_1755030221	birth
בעכעווע		Becheve		unmatched	no_match	C_review		[]	0.0	4-facs_652_r_1	birth
קאַזשעמינקי		Kazhemynky		unmatched	no_match	C_review		[]	0.0	4-facs_655_tr_1755030266	birth
מלאַווע		Mława		unmatched	fuzzy	C_review		"[{""kima_id"": 241, ""rom"": ""Mława (Poland)"", ""heb"": ""מלוה (פולין)""}, {""kima_id"": 8465, ""rom"": ""Malawi"", ""heb"": ""מלאווי""}]"	1.0	4-facs_656_r|6-facs_24_r_2	birth
דושאַט		Dushat		unmatched	no_match	C_review		[]	0.0	4-facs_664_tr_1755030050	birth
שטשינקע		Shchynka		unmatched	no_match	C_review		[]	0.0	4-facs_666_tr_1755030169	birth
ביעלאָצערקאָוו		Bila Tserkva		unmatched	fuzzy	C_review		"[{""kima_id"": 350, ""rom"": ""Bila T︠S︡erkva (Ukraine)"", ""heb"": ""בילה צרקווה (אוקראינה)""}]"	1.0	4-facs_670_tr_1755030252|2-facs_173_tr_1744279070|2-facs_365_tr_1744366824|5-facs_548_r_4|6-facs_35_tr_1747746200|7-facs_25_tr_1756895087	birth
פּאַשקאַן		Pașcani		unmatched	name_exact	B_review	phonetic_mismatch	"[{""kima_id"": 23554, ""rom"": ""Pasichna (Kiev, Ukraine)"", ""heb"": ""פאשקאן (קייב, אוקראינה)""}]"	0.95	4-facs_670_tr_1755030253	birth
דראָזשנע		Drozdne		unmatched	no_match	C_review		[]	0.0	1-facs_205_tr_1741260274	birth
וועלנדיק		Velnidik		unmatched	no_match	C_review		[]	0.0	1-facs_211_tr_1741260267	birth
דוגעלישאָק		Dugelisok		unmatched	no_match	C_review		[]	0.0	1-facs_212_tr_1741260204	birth
