entry_id,context,source_role,source_value,clustered_value,qid,qid_source,place_qid_conflict,wikidata_label_en,wikidata_label_yi,wikidata_type,resolved_category,other_type,cemetery,burial_city,death_site,settlement,province,country,neighborhood,other,review_flags,needs_review,correction_applied,death_burial_conflict
4-facs_39_tr_1752612112,burial,place,בית עולם פֿון די יידישע טעאַטריקל עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,place_province_mismatch,True,,False
4-facs_39_tr_1752612112,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
4-facs_41_r_2,burial,place,הר חברון,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_47_r_2,burial,place,בית עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_55_tr_1753681940,burial,place,וואַשינגטאָן סעמעטערי,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
4-facs_59_tr_1753681938,burial,place,ניו יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
4-facs_60_r_1,burial,place,הר חברון,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_69_tr_1753681922,burial,settlement,פילאַדעלפיע,Philadelphia,Q1345,country,False,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,,,,,Philadelphia,,,,,,False,moved_to_settlement,False
4-facs_79_tr_1753938272,burial,place,וואַשינגטאָנער בית עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
4-facs_79_tr_1753938275,burial,place,לאָס אַנדזשעלעס,Los Angeles,Q65,initial,False,Los Angeles,לאס אנדזשעלעס,"charter city, city in the United States, city, global city, metropolis, megacity, business cluster, big city, LGBT sanctuary city",settlement,,,,,Los Angeles,,,,,,False,,False
4-facs_82_tr_1753938284,burial,place,ברוקלין,Brooklyn,Q18419,initial,False,Brooklyn,ברוקלין,"borough of New York City, city in the United States, consolidated city-county",settlement,,,,,Brooklyn,,,,,,False,,False
