entry_id,context,source_role,source_value,clustered_value,qid,qid_source,place_qid_conflict,wikidata_label_en,wikidata_label_yi,wikidata_type,resolved_category,other_type,cemetery,burial_city,death_site,settlement,province,country,neighborhood,other,review_flags,needs_review,correction_applied,death_burial_conflict,region_autoresolved
4-facs_39_tr_1752612112,burial,place,בית עולם פֿון די יידישע טעאַטריקל עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,place_province_mismatch,True,,False,False
4-facs_39_tr_1752612112,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
4-facs_82_tr_1753938284,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
4-facs_86_tr_1753938264,burial,province,פֿילאַדעלפיע,Philadelphia,Q1345,province,False,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,,,,,Philadelphia,,,,,province_role_mismatch,True,,False,False
4-facs_103_tr_1753681918,burial,place,באַראָן הירש סעמעטערי,Baron Hirsch Cemetery,Q4862481,initial,False,Baron Hirsch Cemetery,,Jewish cemetery,cemetery,,Baron Hirsch Cemetery,,,,,,,,place_province_mismatch,True,,False,False
4-facs_207_tr_1754998369,burial,province,לאָס אַנדזשעלעס,Los Angeles,Q65,province,False,Los Angeles,לאס אנדזשעלעס,"charter city, city in the United States, city, global city, metropolis, megacity, business cluster, big city, LGBT sanctuary city",settlement,,,,,Los Angeles,,,,,province_role_mismatch,True,,False,False
4-facs_249_tr_1754998575,burial,place,בית עולם פֿון יידישן סאָציאַליסטישן פֿאַרבאַנד,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,place_province_mismatch,True,,False,False
1-facs_212_tr_1741260189,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
1-facs_294_tr_1741260438,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
1-facs_345_r_10,burial,province,פילאַדעלפיע,Philadelphia,Q1345,province,False,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,,,,,Philadelphia,,,,,province_role_mismatch,True,,False,False
1-facs_62_tr_1740520958,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
1-facs_90_tr_1740521094,burial,province,ניו-יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
1-facs_93_tr_1740521079,burial,place,בית-החיים פון דער יידישער טעאַטריקל עליינס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,place_province_mismatch,True,,False,False
1-facs_93_tr_1740521079,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
1-facs_180_region_1715801037095_458,burial,province,ניו-יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
1-facs_201_tr_1741260321,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
2-facs_162_tr_1744279209,burial,province,ניו-יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
2-facs_232_tr_1744280746,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
3-facs_282_tr_1755674183,burial,place,בית עולם פֿון טעאַַטריקל גלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,place_province_mismatch,True,,False,False
3-facs_282_tr_1755674183,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
5-facs_208_tr_1739221724,burial,place,פרעשאָוו,Prešov,Q50455,dodgy,False,Prešov,,,other,unknown,,,,,,,,Prešov,needs_manual_type_review;qid_lookup_missing,True,,False,False
6-facs_71_r_13,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
4-facs_270_tr_1754998435,death,place,באָפֿאַלאָ,Buffalo,Q40435,dodgy,False,Buffalo,באפאלא,"city in the state of New York, border city, big city",settlement,,,,,Buffalo,,,,,place_province_mismatch,True,,False,False
4-facs_270_tr_1754998435,death,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False,False
4-facs_619_tr_1755030061,death,place,קאָרדאָוואַ,Córdoba,Q40357,dodgy,False,prison,טורמע,type of prison facility,other,type of prison facility,,,,,,,,prison,needs_manual_type_review;place_country_unresolved,True,,False,False
1-facs_253_tr_1741260227,death,place,טוקום,Tukums,Q185018,dodgy,False,Franz Josef Land,,archipelago,other,archipelago,,,,,,,,Franz Josef Land,needs_manual_type_review,True,,False,False
1-facs_300_tr_1741260418,death,place,סאָמבאָר,Sombor,Q191851,dodgy,False,vase,,,other,unknown,,,,,,,,vase,needs_manual_type_review;place_province_mismatch,True,,False,False
2-facs_87_tr_1744131445,death,place,מאַנטשעסטער,Manchester,Q18125,initial,False,Manchester,מאנטשעסטער,"city, big city, unparished area",settlement,,,,,Manchester,,,,,place_country_mismatch,True,,False,False
