yiddish_name	current_official_name	country	yiddish_transcription	_kima_id	_kima_name_rom	_distance_km	_match_method	_confidence
פּולין	Chervonoarmiys'k (U)	Ukraine	/PULIN/	7313	Poland	666.8	name_exact	0.95
קאַלין	Kalyny (U)	Ukraine	/KALI:'N/	10192	Kolín (Czech Republic)	664.3	name_exact	0.95
קאָלק	Kolky (U)	Ukraine	/KOLK/?	19669	Kalk (Cologne, Germany)	1301.9	name_exact	0.95
קריטי	Kruti (U)	Ukraine	/KRUTI'/	8648	Crete (Greece)	1451.6	name_exact	0.95
לאָבין	Lobyn' (U)	Ukraine	/LOBIN/?	7276	Labin (Labin, Croatia)	1419.4	name_exact	0.95
לאָווין	Lovyn' (U)	Ukraine	/LOVIN/	17720	Loveno (Italy)	1651.8	name_exact	0.95
ליפּניק	Lypnyky (U)	Ukraine	/LIPNIK/	20693	Lipník nad Bečvou (Czech Republic)	791.3	name_exact	0.95
נאָבל	Nobel' (U)	Ukraine	/NOBL/?	15787	Nabeul (Tunisia)	2082.9	name_exact	0.95
סילץ	Sil'tse (U)	Ukraine	/SILTs/	23659	Selets (Belarus)	802.1	name_exact	0.95
אַפּט	Opatów (P)	Poland	/APT/	10855	Apt (France)	1427.2	name_exact	0.95
אַפּט	Opatówek Kielecki? (P)	Poland	/APT/	10855	Apt (France)	1353.6	name_exact	0.95
אַפּט	Opatowiec (P)	Poland	/APT/	10855	Apt (France)	1353.6	name_exact	0.95
סטאַניסלאָוו	Stanisławów (P)	Poland	/STA'NISLOV/	526	Stanislav (Ukraine)	435.1	name_exact	0.95
שומסק	Szumsk (P)	Poland	/ShUMSK/	20463	Shumsʹk (Ukraine)	493.9	name_exact	0.95
טאַרטשין	Tarczyn (P)	Poland	/TARTShIN/ (stress?)	23561	Torczyn (Ukraine)	319.4	name_exact	0.95
קראָן	Kruonis (Li)	Lithuania	/KRON/	17827	Kranj (Slovenia : Občina)	1175.0	name_exact	0.95
טורץ	Turţ (Rm)	Romania	/TURTs/?	22450	Turets (Belarus)	717.8	name_exact	0.95
סעמיהאַל	Bű?dszentmihály (H)	Hungary	/SE'MIHAL/	23539	Mihai Viteazu (Romania)	403.3	name_exact	0.95
טאָרנע	Turnov (Cz)	Czech Republic	/TORNE/	765	Tarnów (Poland)	418.2	name_exact	0.95
טאַרנע	Trnava (Sk)	Slovakia	/TARNE/	765	Tarnów (Poland)	306.7	name_exact	0.95
