qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,n_attestations,n_person,n_org,n_flagged_mentions,fields,n_variants,variants,corpora,external_sources
Q100,Boston,באסטאן,"city in the United States, big city, county seat",settlement,516,Boston (Mass.),בוסטון (מסצ'וסטס),42.360278,-71.057778,51,7,44,0,place;settlements,5,באַסטאָן;באָסטאַן;באָסטאָן;באׁסטאָן;כאָסטאָן,org;person,wikidata;kima
Q1000404,Pryluky,,"city of regional significance of Ukraine, human settlement",settlement,1722,Pryluky (Ukraine),פרילוקי (אוקראינה),,,2,2,0,0,place,1,פּרילוקי,person,wikidata;kima
Q100188,Cluj-Napoca (Romania),,,settlement,400,Cluj-Napoca (Romania),קלוז'-נאפוקה (רומניה),46.78,23.559444444444,1,0,1,0,settlements,1,קלויזענבורג,org,wikidata;kima
Q1002685,Stawiszyn (Poland),,,settlement,23800,Stawiszyn (Poland),סטאווישין (פולין),,,2,2,0,0,place,1,סטאָוויסק,person,wikidata;kima
Q1004290,Skuodas,,"city, human settlement",settlement,14696,Skuodas (Lithuania),שקוד (ליטא),,,1,1,0,0,place,1,שקור,person,wikidata;kima
Q1004332,Vievis,,city or town,settlement,,,,,,1,1,0,1,place,1,יעוויע,person,wikidata
Q1007355,Barcin,,city,settlement,,,,,,1,1,0,0,place,1,בערטשיין,person,wikidata
Q101254,Newport,,,settlement,,,,,,1,0,1,0,settlements,1,ניופּאָרט,org,wikidata
Q1012975,Kahului,,"census-designated place in the United States, unincorporated community in the United States",province,10271,Kahului (Hawaii),קאהולואי (הוואי),,,1,1,0,0,province,1,קאַהול,person,wikidata;kima
Q1014367,Călărași,קאַלאַראַש,city,settlement,19386,Călărași (Moldova : Raionul),קאלארשי (מולדובה : מחוז),47.254444444444,28.308055555556,4,3,1,0,place;settlements,4,קאַלאַראָש;קאָלאַראַש;קאָלאַראש;קאָלאָראָש,org;person,wikidata;kima
Q1014690,Yasynets,,village of Ukraine,settlement,,,,,,1,1,0,1,place,1,יאַשיניץ,person,wikidata
Q1019884,Ivano-Frankove,,urban-type settlement in Ukraine,other,,,,,,2,2,0,2,place,2,יאַנאָוו;יאָנאָוו,person,wikidata
Q1019899,Zbarazh,זבאראזש,city in Ukraine,settlement,12047,"Zbaraz︠h︡ (Ternopilʹsʹka oblastʹ, Ukraine)",זברז' (אוקראינה),,,2,2,0,1,place,2,זבאַרא;זבאַראָזש,person,wikidata;kima
Q1020037,Kulykiv,,"urban-type settlement in Ukraine, human settlement",settlement,84083,"Kulykiv (Z︠H︡ovkivsʹkyĭ raĭon, Ukraine)","קוליקיב (מחוז ז'ובקיב, אוקראינה)",,,1,1,0,1,place,1,קיליקאוו,person,wikidata;kima
Q1020069,Radyvyliv (Ukraine),,,settlement,1724,Radyvyliv (Ukraine),רדזיווילוב (אוקראינה),,,1,1,0,0,place,1,ראַרויווילאָוו,person,wikidata;kima
