rejected_qid,wrong_kind,wrong_label_en,wrong_type,n_attestations,corpora,n_variants,variants,attestation_ids
Q106281,human(person),Bernd Dost,human,4,person,2,טאַרנאָוו;טאָרנע,P-1-facs_136_tr_1740521127#place#1;P-5-facs_570_tr_1739221417#place#2;P-6-facs_56_tr_1747746145#place#2;P-6-facs_58_r_23#place#2
Q2553072,taxon,Doeringiella speciosa,taxon,2,person,1,כאַטיעוויטש,P-2-facs_316_tr_1744365733#place#1;P-5-facs_168_tr_1735652657#place#3
Q869773,human(person),Daniel Manzato,human,1,person,1,בוטענקאָווע,P-4-facs_115_tr_1753936446#place#3
Q869820,human(person),Alberto Albertini,human,1,person,1,קאָמענקאָיע,P-4-facs_587_tr_1755030057#place#1
Q2553095,film,Kekko Kamen,film series,1,person,1,יאַשאָנאָווקי,P-4-facs_651_tr_1755030221#place#1
Q1022900,wikimedia disambiguation,CAWS,Wikimedia disambiguation page,1,person,1,קאַזשעמינקי,P-4-facs_655_tr_1755030266#place#1
Q1026523,human(person),Rio Nobile,human,1,person,1,דראָזשנע,P-1-facs_205_tr_1741260274#place#1
Q2553059,album,Opus Nocturne,album,1,person,1,וועלנדיק,P-1-facs_211_tr_1741260267#place#1
Q869751,human(person),George Dreyfus,human,1,person,1,אישאמיר,P-1-facs_258_tr_1741260279#place#1
Q869764,human(person),Ted Hufton,human,1,person,1,אָלגאָראָבאָס,P-1-facs_258_tr_1741260281#place#1
Q1027527,album,Vengeance,album,1,person,1,זשאָרקי,P-1-facs_305_tr_1741260377#place#2
Q108497,human(person),Bernd Dost,human,1,person,1,טאָרנאָוו,P-1-facs_332_tr_1741260405#place#1
Q1264978,wikimedia disambiguation,Dumfries,Wikimedia disambiguation page,1,person,1,זוואָנטשיק,P-1-facs_38_tr_1740521016#place#1
Q869798,human(person),Hermann Linkenbach,human,1,person,1,סאָוואָליווקע,P-1-facs_48_tr_1740521130#place#1
Q135309067,family name,Vukina,family name,1,person,1,"וואוקיין, נעבן ראָדזין",P-2-facs_399_tr_1744366854#place#1
