current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name
Ukraina (U),Ukraina (R) [Ukraine (E)],,,,,,,,,"/UKRAYINE/, /(U)KRAyNE/","אַבֿרהם ביאַלאָפּאָלסקי, בנימין גוטיאַנסקי, א. געלבמאַן, איציק גרינזײַד, מ. דובילעט, שיקע דריז, עוזר האָלדעס, לייב האַנדעלמאַן, דוד וואָלקענשטיין, אי. אי. ווייצבליט, ? זאָלאָטאַריאָוו, כאַסקל טאַבאַטשניקאָוו, מאָטל טאַלאַלײַעווסקי, ש. טילקער, ח. טשיגירינסקי, י. יאַכינסאָן, חיים לויצקער, נ. ליפּמאַן, ש. ליפֿשיץ, דוד מאַכלין, דוד מאַניעוויטש, ש. עפּשטיין, שלום־אַלטער עפֿטער, הערש פֿאַרבער, משה פֿײַנבליט, דוד פֿעלדמאַן; חנא ווײַנערמאַן, משולם טושינסקי, משה סמבטיון (אפֿרתי)","אוקראַיִנע, (או)קרײַנע"
Bukovina (U),Bukovina (U),,,region,,,,,,/BI'KEVINE/,־־,בוקעווינע
,Podoliya? (R),,,"eastern Ukraine, region",,,,,,/PODOLyE/,־־,פּאָדאָליע
Volyn? (U),Volyn? (R),Wołyń? (P),[Volhynia (E)],region,,,,,,/VOLI'N/,־־,וואָלין
Zakarpattya? (U),?,Podkarpatská Rus (Cz),Kárpátalja (H),region,,,,,,/KARPA'TN(-LAND)/,---,קאַרפּאַטן(־לאַנד)
Adamivka (U),Adamovka? (R),,,eastern Ukraine?,,,,,,/ADO'ME?FKE/,־־,אַדאָמעווקע?
Anan'yiv (U),Anan'yev (R),,,eastern Ukraine,47° 43',29° 58',35,SE,Balta,/ANANyEV/,־־,אַנאַניעוו
Andrushivka (U),Andrushyovka (R),,,eastern Ukraine,50° 1',29° 1',30,SE,Zhytomyr,/ANDRIShIFKE/,־־,אַנדרישיווקע
Antalovtsi (U),Antalovtsy (R),Antalovce? (Cz),Antalóc (H),Transcarpathia,48° 38',22° 31',15,E,Uzhhorod,/ANTA'LOVITs/,---,אַנטאַלאָוויץ
Antonivka (U),Antonovka? (R),,,eastern Ukraine,49° 23',30° 16',100,SSW,Kyiv?,/ANATOFKE/? /ANA'TEFKE/,־־,"אַנאַטאָווקע?, אַנאַטעווקע"
Antonivka (U),Antonovka (R),Antonówka? (P),,Volhynia,51° 19',26° 20',75,N,Rivne?,/ANTENIFKE/,--,אַנטעניווקע
Antonivtsi (U),Antonovtsy (R),,,eastern Ukraine,49° 17',26° 56',15,SSW,Khmel'nyts'kyy,/ANTONOVITs/,־־,אַנטאָנאָוויץ
Arkadiyivtsi (U),Arkadiyevtsy (R),,,eastern Ukraine,49° 31',27° 10',15,NE,Khmel'nyts'kyy,/ARKA'DEVITs/,־־,אַרקאַדעוויץ
Artemivs'k? (U),Artemovsk? (R),,,eastern Ukraine,,,,,,/ARTEMO'FSK/?,־־,אַרטעמאָווסק
Artsyz (U),Artsiz (R),,,south Bessarabia,45° 59',29° 25',105,SW,Odesa,/ARTsI'Z/,־־,אַרציז
Avratyn (U),Avratin (R),,,eastern Ukraine,49° 40',26° 18',45,ENE,Ternopil',/AVRO'TENE/,־־,אַווראָטענע
Babchyntsi (U),Babchintsy (R),,,eastern Ukraine,48° 23',28° 9',25,E,Mohyliv,/BO'BTShINITs/,־־,באָבטשיניץ
Babychivka (U),Babichevka (R),,,eastern Ukraine,49° 17',33° 15',95,SW,Poltava,/BABETShIFKE/,־־,באַבעטשיווקע
Babyn (U),Babin (R),,,north Bessarabia,48° 32',26° 52',65,ENE,Chernivtsi,/BABIN/,־־,באַבין
Babyntsi (U),Babintsy (R),,,east Galicia,48° 41',26° 3',40,NNE,Chernivtsi,/BA'BENITs/,־־,באַבעניץ
Bachmanivka (U),Bachmanovka (R),,,eastern Ukraine,50° 21',27° 1',105,N,Khmel'nyts'kyy,/BATShMA'NEFKE/,־־,באַטשמאַנעווקע
Bahrynivka (U),Bagrinovka (R),Ba?hrineşti (Rm),,north Bukovina,47° 59',25° 57',30,S,Chernivtsi,/BERINE'ShT/,־־,בערינעשט
Bakhmach (U),Bakhmach (R),,,eastern Ukraine,51° 11',32° 47',105,ESE,Chernihiv,/BAKhMATSh/,־־,באַכמאַטש
