current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,country,lat_dec,lon_dec
Ukraina (U),Ukraina (R) [Ukraine (E)],,,,,,,,,"/UKRAYINE/, /(U)KRAyNE/","אַבֿרהם ביאַלאָפּאָלסקי, בנימין גוטיאַנסקי, א. געלבמאַן, איציק גרינזײַד, מ. דובילעט, שיקע דריז, עוזר האָלדעס, לייב האַנדעלמאַן, דוד וואָלקענשטיין, אי. אי. ווייצבליט, ? זאָלאָטאַריאָוו, כאַסקל טאַבאַטשניקאָוו, מאָטל טאַלאַלײַעווסקי, ש. טילקער, ח. טשיגירינסקי, י. יאַכינסאָן, חיים לויצקער, נ. ליפּמאַן, ש. ליפֿשיץ, דוד מאַכלין, דוד מאַניעוויטש, ש. עפּשטיין, שלום־אַלטער עפֿטער, הערש פֿאַרבער, משה פֿײַנבליט, דוד פֿעלדמאַן; חנא ווײַנערמאַן, משולם טושינסקי, משה סמבטיון (אפֿרתי)","אוקראַיִנע, (או)קרײַנע",Ukraine,,,Ukraine,,
Bukovina (U),Bukovina (U),,,region,,,,,,/BI'KEVINE/,־־,בוקעווינע,Ukraine,,,Ukraine,,
,Podoliya? (R),,,"eastern Ukraine, region",,,,,,/PODOLyE/,־־,פּאָדאָליע,,,,,,
Volyn? (U),Volyn? (R),Wołyń? (P),[Volhynia (E)],region,,,,,,/VOLI'N/,־־,וואָלין,Ukraine,,,Ukraine,,
Zakarpattya? (U),?,Podkarpatská Rus (Cz),Kárpátalja (H),region,,,,,,/KARPA'TN(-LAND)/,---,קאַרפּאַטן(־לאַנד),Ukraine,,,Ukraine,,
Adamivka (U),Adamovka? (R),,,eastern Ukraine?,,,,,,/ADO'ME?FKE/,־־,אַדאָמעווקע?,Ukraine,,,Ukraine,,
Anan'yiv (U),Anan'yev (R),,,eastern Ukraine,47° 43',29° 58',35,SE,Balta,/ANANyEV/,־־,אַנאַניעוו,Ukraine,47.7167,29.9667,Ukraine,47.7167,29.9667
Andrushivka (U),Andrushyovka (R),,,eastern Ukraine,50° 1',29° 1',30,SE,Zhytomyr,/ANDRIShIFKE/,־־,אַנדרישיווקע,Ukraine,50.0167,29.0167,Ukraine,50.0167,29.0167
Antalovtsi (U),Antalovtsy (R),Antalovce? (Cz),Antalóc (H),Transcarpathia,48° 38',22° 31',15,E,Uzhhorod,/ANTA'LOVITs/,---,אַנטאַלאָוויץ,Ukraine,48.6333,22.5167,Ukraine,48.6333,22.5167
Antonivka (U),Antonovka? (R),,,eastern Ukraine,49° 23',30° 16',100,SSW,Kyiv?,/ANATOFKE/? /ANA'TEFKE/,־־,"אַנאַטאָווקע?, אַנאַטעווקע",Ukraine,49.3833,30.2667,Ukraine,49.3833,30.2667
