current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,_parent_resolved,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
,Podoliya? (R),,,"eastern Ukraine, region",,,,,,/PODOLyE/,־־,פּאָדאָליע,,,,,name_exact,name_exact,A_autolink,0.95,True,,2226,Podillia (Ukraine),פודיליה (אוקראינה),,2226
Bar (U),Bar (R),,,eastern Ukraine,49° 4',27° 40',50,WSW,Vinnytsya,/BAR/,"שלמה הללס, משה ווײַנבערג, אַלעקסאַנדער (סאַשאַ) טשעמעריסקי",באַר,Ukraine,49.0667,27.6667,,name_exact,name_exact,A_autolink,0.95,True,,19248,"Bar (Vinnyt︠s︡ʹka oblastʹ, Ukraine)","באר (מחוז ויניצה, אוקראינה)",1.7,19248
Berdychiv (U),Berdichev (R),,,eastern Ukraine,49° 54',28° 35',35,SSW,Zhytomyr,/BARDITShEV/,־־,באַרדיטשעוו,Ukraine,49.9000,28.5833,,name_exact,name_exact,A_autolink,0.95,True,,571,Berdychiv (Ukraine),ברדיצ'ב (אוקראינה),1.5,571
Berezhany (U),Berezhany (R),Brzeżany (P),,east Galicia,49° 27',24° 56',50,WSW,Ternopil',/BERZhA'N/,שמואל טענענבוים,בערזשאַן,Ukraine,49.4500,24.9333,,name_exact,name_exact,A_autolink,0.95,True,,347,Berez︠h︡any (Ukraine),בז'ז'ני (אוקראינה),0.8,347
Brid (U),Brod? (R),Brod? (Cz),Boród (H),Transcarpathia,48° 21',23° 01',20,SE,Mukacheve,/BROD/,---,בראָד,Ukraine,48.3500,23.0167,,name_exact,name_exact,A_autolink,0.95,True,,677,Brody (Ukraine),ברודי (אוקראינה),247.0,677
Brody (U),Brody (R),Brody (P),Brody (R),east Galicia,50° 5',25° 9',75,ENE,L'viv,/BROD/,"יעקבֿ־שמואל ביק, בערל בראָדער, אַבא־יוסף זוסמאַן, מענדל זינגער, שאָול חיות, אַריה טאַרטאַקאָווער, אַלפֿרעד לאַנדוי, דבֿ סדן??, מרדכי סוכאָסטאַווער, ישׂראל פֿאָגעל",בראָד,Ukraine,50.0833,25.1500,,name_exact,name_exact,A_autolink,0.95,True,,677,Brody (Ukraine),ברודי (אוקראינה),0.7,677
Burshtyn (U),Burshtyn (R),Bursztyn (Demianów?) (P),,east Galicia,49° 16',24° 38',35,N,Ivano-Frankivs'k,/BURShTI:'N/,נתן מעלצער,בורשטין,Ukraine,49.2667,24.6333,,name_exact,name_exact,A_autolink,0.95,True,,20596,Burshtyn (Ukraine),בורשטין (אוקראינה),0.8,20596
Illintsi (U),Il'intsy (R),,,eastern Ukraine,49° 7',29° 12',45,ESE,Vinnytsya,/LINITs/,"בן־ציון וועקשטיין, אליהו מײַדאַניק, אַבֿיגדור פּאַניטש, וועלוול רעדקאָ",ליניץ,Ukraine,49.1167,29.2000,,name_exact,name_exact,A_autolink,0.95,True,,23857,Illintsi (Ukraine),אילינצי (אוקראינה),1.9,23857
Khorostkiv (U),Khorostkov (R),Chorostków (P),,east Galicia,49° 14',25° 55',40,SSE,Ternopil',/KhROSKEV/,"פֿישל ווערבער, בלומע לעמפּעל, שלום קלינגער (איין שטאָט?)",כראָסקעוו,Ukraine,49.2333,25.9167,,name_exact,name_exact,A_autolink,0.95,True,,20716,Khorostkiv (Ukraine),חראשקוב (אוקראינה),2.5,20716
Korets' (U),Korets (R),Korzec (P),Korets (R),Volhynia,50° 37',27° 10',55,E,Rivne,/KORITs/,"שניאור־זלמן ביכאָווסקי, פּרץ גאָלדשטיין, משה גילדענמאַן, נחמיה סיגאַל, יוסף־אַבֿרהם פּאָליוואַ (איין שטאָט?)",קאָריץ,Ukraine,50.6167,27.1667,,name_exact,name_exact,A_autolink,0.95,True,,675,Koret︠s︡ʹ (Ukraine),קוריץ (אוקראינה),0.0,675
