edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Al Naharot,12,r1l8,untyped stage,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג.,assign stage @type
Al Naharot,18,r1l6,untyped stage,NOA,stage span requires a type attribute (no bare stage),פֶערוואנְדְלונְג.,assign stage @type
Al Naharot,25,r1l9,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג.,assign stage @type
Al Naharot,25,line_1649597840955_2176,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע פונ'ם עֶרְשְׁטעֶן אַקט.,assign stage @type
Al Naharot,31,r1l3,untyped stage,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג.,assign stage @type
Al Naharot,"34,35,36,37,40,41,49,51…",28× occurrences,missing cast member,NOA,hoyptman,הויפטמאן,add role 'hoyptman' to cast_dict.json if a real character
Al Naharot,37,r1l20,untyped stage,NOA,stage span requires a type attribute (no bare stage),(פארהאנג).,assign stage @type
Al Naharot,37,line_1649598655516_2903,untyped stage,NOA,stage span requires a type attribute (no bare stage),(ענדע פונ'ם צווייטען אקט).,assign stage @type
Al Naharot,43,r1l4,untyped stage,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג,assign stage @type
Al Naharot,43,r1l15,untyped stage,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג.,assign stage @type
Al Naharot,50,r1l25,untyped stage,NOA,stage span requires a type attribute (no bare stage),פֶערוואנְדְלונְג.,assign stage @type
Al Naharot,50,r1l33,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג.,assign stage @type
Al Naharot,59,r1l8,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג.,assign stage @type
Al Naharot,60,line_1649538258191_4864,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶפִּילָאג,assign stage @type
Al Naharot,63,r1l15,untyped stage,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג.,assign stage @type
Al Naharot,63,r1l24,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג.,assign stage @type
Al Naharot,63,r1l25,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע.,assign stage @type
Di Seder,9,r_3_1l3,OCR consonant regression,NOA,no match in new text,זלמן,fix raw-OCR letter then re-tag dropped span
Kidush Hashem,25,r1l26,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג פאלְט.,assign stage @type
Kidush Hashem,25,r1l27,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע דֶער ערְשׁטֶער אַקְט.,assign stage @type
Kidush Hashem,26,r1l5,legacy attr,NOA,unknown attrs on head: ['unit-type'],צווייטֶער אַ,remove 'unit-type' attr on head
Kidush Hashem,28,r1l2,untyped stage,NOA,stage span requires a type attribute (no bare stage),פֿערוואנדלונג,assign stage @type
Kidush Hashem,31,r1l2,untyped stage,NOA,stage span requires a type attribute (no bare stage),פֶערוואנְדְלונְג.,assign stage @type
Kidush Hashem,"40,48",5× occurrences,missing cast member,NOA,pazh,פאזש,add role 'pazh' to cast_dict.json if a real character
Kidush Hashem,46,r1l40,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג פאלְט.,assign stage @type
Kidush Hashem,46,r1l41,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע דֶער צווייטֶער אַקְט.,assign stage @type
Kidush Hashem,47,r2l1,legacy attr,NOA,unknown attrs on head: ['unit-type'],דרִיטֶער אַק,remove 'unit-type' attr on head
Kidush Hashem,51,r1l22,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג פאלְט.,assign stage @type
Kidush Hashem,51,r1l23,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע דֶער דרִיטֶער אַקְט.,assign stage @type
Kidush Hashem,52,r1l2,legacy attr,NOA,unknown attrs on head: ['unit-type'],פִירְטֶער אַ,remove 'unit-type' attr on head
Kidush Hashem,"53,54,55,70",4× occurrences,missing cast member,NOA,tobyas_yulye,ביידע,add role 'tobyas_yulye' to cast_dict.json if a real character
Kidush Hashem,57,r1l22,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג פאלְט.,assign stage @type
Kidush Hashem,58,r1l2,untyped stage,NOA,stage span requires a type attribute (no bare stage),פֶערוואנְדְלונְג,assign stage @type
Kidush Hashem,65,r1l22,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג פאלְט.,assign stage @type
Kidush Hashem,65,r1l23,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע דֶער פֿירטער אַקְט.,assign stage @type
Kidush Hashem,66,r1l2,legacy attr,NOA,unknown attrs on head: ['unit-type'],פִינְפטֶער אַ,remove 'unit-type' attr on head
Kidush Hashem,66,1× occurrences,missing cast member,NOA,vekhter,וועכטער,add role 'vekhter' to cast_dict.json if a real character
Kidush Hashem,7,r3l8,legacy tag,NOA,unknown tag 'Header',ערְשׁטֶער אַ,retag 'Header' as heading{type:act}
Kidush Hashem,74,r1l4,untyped stage,NOA,stage span requires a type attribute (no bare stage),פֶערוואנְדְלונְג.,assign stage @type
Kidush Hashem,75,r1l23,untyped stage,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג פאלְט.,assign stage @type
Kidush Hashem,75,r1l24,untyped stage,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע דֶער פּיעססע.,assign stage @type
Kidush Hashem,8,r1l2,speaker missing id,NOA,speaker span requires xmlid attribute (link to a role xml:id),טאביאס,link speaker to role xml:id
Kidush Hashem,8,r1l4,speaker missing id,NOA,speaker span requires xmlid attribute (link to a role xml:id),טאביאס:,link speaker to role xml:id
Yudale,33,,song segmentation,NOA,"Chad-Gadya parody song (lines 1-20). No numbered/roman stanza markers, so encoded as ONE lg {n:1} per the marker-less-song convention. RA to",,re-segment stanzas if desired (currently one lg)
Al Naharot,"12,36,37,42,51,52,53,54…",17× occurrences,collective speaker,known,alle,שטימען,confirm collective (likely no individual cast entry)
Al Naharot,49,1× occurrences,collective speaker,known,beyde,ביידע,confirm collective (likely no individual cast entry)
Kidush Hashem,"11,12,13,15,21,22,24,26…",18× occurrences,collective speaker,known,alle,אלע,confirm collective (likely no individual cast entry)
Kidush Hashem,"12,15,16,23,24,25,26,27…",14× occurrences,collective speaker,known,chor,קאהר,confirm collective (likely no individual cast entry)
Kidush Hashem,"12,66",5× occurrences,collective speaker,known,eyner,איינער,confirm collective (likely no individual cast entry)
Kidush Hashem,23,2× occurrences,collective speaker,known,menner,מענער,confirm collective (likely no individual cast entry)
Kidush Hashem,"23,24",2× occurrences,collective speaker,known,meydkhen,מעדכען,confirm collective (likely no individual cast entry)
Kidush Hashem,67,1× occurrences,collective speaker,known,duet,דועט,confirm collective (likely no individual cast entry)
Kidush Hashem,42,r1l12,legacy tag,info,unknown tag 'textStyle',ן. ,Transkribus-native formatting — ignore
Kidush Hashem,45,r1l4,legacy tag,info,unknown tag 'textStyle',גוּטע,Transkribus-native formatting — ignore
Kidush Hashem,70,r1l5,legacy tag,info,unknown tag 'textStyle',טו,Transkribus-native formatting — ignore
Kidush Hashem,8,r1l9,legacy tag,info,unknown tag 'textStyle',בּסעלע שִׁ,Transkribus-native formatting — ignore
Yudale,3,,title_page,info,"titlePage marker applied; title/author/publisher lines have no matching span tag in the schema, so left untagged. Lines 12-14 are OCR garbag",,no action — front/back matter
Yudale,"68,69,70",,back_matter_unannotated,info,Back-cover advertisement / heavily garbled OCR (e.g. 'לאטיינער' = Lateiner ad). Left unannotated (old annotation also empty); no body page-t,,no action — front/back matter
