title,author,year_written,year_printed,publication_place,publisher,publisher_place,printer,printer_place,transkribus_doc_id,transkribus_collection_id,transkribus_url,transkribus_ready,folder,catalogue_play_key,catalogue_yiddish_name,expression_id,expression_english_name,expression_yiddish_name,tags,genre,certainty,n_productions,n_performance_events,n_premieres,n_shows,n_roles,n_songs,n_print_edition_catalogue,n_document_items,rafe,vocalization_position,speakers_stage_vocalized,notes
Mishke Mashke,Joseph Lateiner,1892,1911,Warsaw,"Farlag ""Kultur"" (Dzika 13)",Warsaw,F. Baumritter (Warsaw),,828537,18874,https://app.transkribus.org/collection/18874/doc/828537,done?,MishkeMashke-Kultur1910,Di grinhorns,מישקע מאשקע,3838,Di grinhorns,די גרינהאָרנס,comedy; folks-shtik; lebensbild; gezang-drama,,certain,1,1,1,0,0,3,0,0,,,,"Hebrew date תרע״א (5671) = 1910/1911; title page also bears Russian imprint ""Книжный магазинъ Культура, Варшава, Дзикая № 13""; price 20 kop."
Der Mann untern Tisch,Joseph Lateiner,,1911,Warsaw,"""Teater bibliyotek""",,Druk ha-Tsfira (Panska 40),Warsaw,817462,18874,https://app.transkribus.org/collection/18874/doc/817462,done,DerManUnterTiff,Der man untern tish,der man unter,3817,Der man untern tish,דער מאַן אונטערן טיש,one-act-play; vaudville,,certain,1,1,1,0,0,0,0,0,yes,syllables,no,"already in DraCor; Hebrew date תרעא (5671) = 1910/1911; no publisher named on title page, only printer"
Yudale der Blinder,Joseph Lateiner,,1908,Przemyśl,Amkroyt un Fraynd,,,,828539,18874,https://app.transkribus.org/collection/18874/doc/828539,not_yet,"Yudale_der_blinder,_Emkroyt1908","Yidele, oder der emes un der sheker",יודאלע דער בלינדער,3927,Yidele oder der emes un sheyker,"ייִדעלע, אָדער דער אמת און דער שקר",folkshtik; gezang-drama,,certain,0,1,1,0,1,0,0,0,no,consonants,no,RA-corrected pp.5-9
Di Seder Nakht,Joseph Lateiner,,1908,Przemyśl,Amkroyt et Freund Buchhandlung,Przemyśl,,,828503,18874,https://app.transkribus.org/collection/18874/doc/828503,not_yet,Di_seyder_nakht_Emkroyt_1908,"Di seyder nakht, oder der bilbl-dam",סדר נאכט,3847,"Di seyder nakht, oder der bilbl-dam","די סדר-נאַכט, אָדער דער בלבול-דם",lebensbild; operetta; folks-shtik; gezang-drama,,certain,1,1,1,0,1,1,0,0,no,mixed,no,RA-corrected pp.1-4; speakers+stage-dirs neither vocalized nor tagged; music by Frissel
Ezra,Joseph Lateiner,,1908,Przemyśl,Amkroyt un Fraynd,,,,828481,18874,https://app.transkribus.org/collection/18874/doc/828481,not_yet,Ezra-Emkroyt1908,Ezre oder der ewiger Jude [eybiker yid],עזרא,3875,Ezre oder der ewiger Jude [eybiker yid],עזרא אָדער דער עוויגער יודע,operetta,,certain,2,2,1,1,1,19,0,0,,,,
Blimele (di Perle von Warsha),Joseph Lateiner,,1903,Podgórze,A. Faust,,,,828455,18874,https://app.transkribus.org/collection/18874/doc/828455,not_yet,Blimele-AhronFaust1903,Blimele di perl fun Varshe oder graf un yid [Jude],בלימאלע אדער,3801,Blimele di perl fun Varshe oder graf un yid [Jude],"בלימעלע די פּערל פֿון וואַרשע, אָדער גראַף און ייִד [יודע]",opertta,,certain,1,1,1,0,1,7,0,0,,,,
Bas Sheva,Joseph Lateiner,,1911,Przemyśl,Amkroyt un Fraynd,,,,828443,18874,https://app.transkribus.org/collection/18874/doc/828443,not_yet,BasSheva,Bas-Sheve,בת שבע,3798,Bas-Sheve,בת-שבֿע,fantastic operetta,,certain,1,1,1,0,0,2,0,0,,,,
Das Yudishe Kind,Joseph Lateiner,,1911,Warsaw,"Farlag ""Kultur"" (Dzika 13)",Warsaw,,,828424,18874,https://app.transkribus.org/collection/18874/doc/828424,not_yet,דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,,,3867,Dos yidishe kind,דאס יודישע קינד,,,false ascription,0,1,0,1,0,0,0,0,yes,syllables,vocalized_untagged,"RA-corrected pp.1-2; speakers+stage-dirs vocalized but not tagged; Hebrew date תרע״א = 1910/1911 (title page bears ""תרעא — 1911"")"
Isha Raa,Joseph Lateiner,,1904,Podgórze,Verlag von Benjamin Munk Buchhandlung,Lemberg,Druck von S.L. Deitscher,Podgórze,820937,18874,https://app.transkribus.org/collection/18874/doc/820937,not_yet,IshahRaah,,,3884,Ishe roeh,אישה רע,gezang-drama,,certain,0,1,1,0,0,0,0,0,,,,Hebrew date תרס״ד (5664) = 1903/1904; catalogue title: Ishe roeh / אישה רע
Al Naharot Bavel,Joseph Lateiner,,1909,Przemyśl,Amkraut & Freund Buchhandlung,Przemyśl,,,820975,18874,https://app.transkribus.org/collection/18874/doc/820975,not_yet,AlNaharotBavel-Amkreut&Freund1909,"Tsiyen, oder al nahares Bovl",alnaharotbavel,3915,"Tsiyen, oder al nahares Bovl","ציון, אָדער על נהרות בבֿל",historical operetta; biblical operetta,,certain,1,1,1,0,1,1,0,0,no,consonants,no,RA-corrected pp.5-9 (deduced from pp.7-9 2026-05-20); only stray rafe is the act-opening setting direction on p7
